district,target_for_fy_2024_25_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2024_25_till_31st_march_2025_no,amount,education_loan_outstanding_as_on_31st_march_2025_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1545,3520,668,668,4670.44,231,1969.41,1420,3715.32,3560,15232.45,1100,5388.79,
Chatra,78,175,28,28,174.28,7,70.11,67,136.03,246,771.25,37,133.24,
Deoghar,495,1378,193,193,1298.00,54,501.22,470,1387.74,1209,5790.61,318,1918.22,
Dhanbad,2339,4640,1036,1036,5024.92,295,1590.74,2442,4975.39,5678,21434.35,1489,6437.97,
Dumka,80,182,26,26,147.74,7,58.74,66,161.77,256,971.99,72,255.70,
East Singhbhum,3474,13687,1514,1514,14681.60,628,6165.81,3166,15364.73,9102,64980.97,3279,23569.68,
Garhwa,125,296,37,37,176.74,9,28.91,83,174.55,287,942.97,65,209.68,
Giridih,394,843,163,163,734.44,48,281.97,337,695.94,1085,3843.13,244,1046.93,
Godda,163,312,50,50,172.26,11,33.83,164,295.78,417,1441.52,102,414.89,
Gumla,316,565,180,180,491.78,154,338.94,234,385.94,454,1217.50,285,584.48,
Hazaribagh,602,1639,302,302,1824.20,89,568.14,574,1530.91,1565,6696.91,385,1932.87,
Jamtara,330,455,140,140,319.23,109,221.76,171,271.38,473,814.64,323,339.64,
Khunti,72,165,26,26,226.72,12,115.22,65,210.00,181,696.73,68,284.65,
Koderma,254,558,92,92,588.10,25,156.86,206,396.65,588,2188.43,143,580.54,
Latehar,121,204,64,64,216.18,33,93.02,97,214.63,213,593.49,82,183.32,
Lohardaga,67,126,34,34,217.03,15,36.15,70,168.44,231,865.12,82,306.23,
Pakur,90,149,25,25,141.42,9,54.00,50,130.09,118,385.42,47,106.85,
Palamu,288,581,143,143,657.27,43,213.89,295,657.48,814,2838.11,200,763.02,
Ramgarh,406,1133,201,201,1172.31,70,374.95,377,1033.87,1123,4576.87,338,1659.35,
Ranchi,5186,16367,2318,2318,17407.68,1013,6815.32,4665,16851.12,12853,71791.74,4734,24575.81,
Sahibganj,280,426,113,113,285.01,81,150.81,177,301.03,583,1320.67,352,570.37,
Seraikela-Kharsawan,1014,1602,384,384,1704.33,142,510.92,977,1787.15,2269,7393.76,657,1819.11,
Simdega,43,175,34,34,187.42,17,85.70,43,120.68,151,425.02,69,149.08,
West Singhbhum,589,1412,248,248,1203.28,164,558.27,484,1297.31,1552,6688.36,734,2444.55,
