district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,57007,366464.95,41,58.00,78,1287.65,1286,21533.17,8204,45099.58,42651,269342.83,52260,337321.23,92.05
Chatra,8429,30944.99,20,94.82,1,8.00,58,788.05,1440,7895.34,6267,23225.72,7786,32011.93,103.45
Deoghar,23842,96273.78,55,97.63,31,509.49,590,11669.44,3628,16240.82,18532,73526.61,22836,102043.98,105.99
Dhanbad,102690,493551.38,81,334.66,84,917.10,2007,33999.40,14102,97271.64,71610,395891.90,87884,528414.70,107.06
Dumka,13137,48278.16,37,57.26,2,25.36,100,1921.74,2060,6912.39,10670,42437.72,12869,51354.47,106.37
East Singhbhum,184191,953351.70,62,588.27,704,10020.86,3315,69419.70,18633,82092.91,162106,874661.30,184820,1036783.03,108.75
Garhwa,10043,32729.97,20,53.19,1,40.81,74,1135.57,1286,5313.21,8025,29759.43,9406,36302.21,110.91
Giridih,30360,140239.29,94,267.54,17,178.33,328,5323.15,3781,14952.47,21311,131485.87,25531,152207.36,108.53
Godda,11892,44227.29,32,274.30,4,20.83,146,2701.52,1751,6172.71,9391,40309.89,11324,49479.25,111.87
Gumla,6919,26243.05,42,114.43,1,5.07,61,1680.44,887,4007.87,5146,21668.19,6137,27476.00,104.70
Hazaribagh,44445,154203.26,64,277.39,35,363.90,678,12956.86,4648,27552.61,38748,129070.74,44173,170221.50,110.39
Jamtara,6679,23086.84,6,7.90,3,63.78,44,597.19,852,2865.88,5171,20439.72,6076,23974.47,103.84
Khunti,5540,25527.36,10,9.91,6,78.47,59,1291.10,563,2845.08,4679,22309.26,5317,26533.81,103.94
Koderma,14732,48869.93,6,37.61,4,77.20,102,2137.40,1230,6375.17,10471,40490.05,11813,49117.43,100.51
Latehar,9049,30209.32,38,231.69,1,2.26,30,629.24,667,3864.97,6393,25587.43,7129,30315.58,100.35
Lohardaga,5470,19621.88,21,55.64,1,28.24,55,1128.40,540,2735.95,4630,16683.45,5247,20631.67,105.15
Pakur,14104,28787.78,15,8.31,5,54.51,118,1638.65,584,1920.19,11297,26779.47,12019,30401.14,105.60
Palamu,24672,78863.98,22,104.50,7,109.81,145,2969.63,2738,10608.49,20992,67780.09,23904,81572.53,103.43
Ramgarh,23000,124333.84,26,607.57,21,308.04,514,8846.16,3609,27887.85,19193,108930.54,23363,146580.17,117.89
Ranchi,249859,2401987.77,101,50758.97,535,6307.58,5247,128520.43,22431,129418.64,202062,2393968.80,230376,2708974.42,112.78
Sahibganj,10166,33944.35,72,391.06,3,25.56,66,1091.46,1390,5151.12,8097,29001.26,9628,35660.46,105.06
Simdega,3744,12822.36,27,114.73,2,19.00,24,350.65,497,2503.61,2958,10712.32,3508,13700.32,106.85
West Singhbhum,16729,318698.68,14,35.88,28,451.56,228,4659.72,2979,11856.45,13288,350619.78,16537,367623.40,115.35
