district,branches_as_on_31032025_rural,semi_urban,urban,total,atms_as_on_31032025_rural,semi_urban,urban,total,as_on_31122024_branch,atms,difference_branch,atms
Bokaro,78,54,91,223,29,51,155,235,220,244,3,-9
Chatra,46,23,0,69,13,22,0,35,68,34,1,1
Deoghar,71,26,48,145,12,20,93,125,145,136,0,-11
Dhanbad,76,58,182,316,33,55,305,393,307,406,9,-13
Dumka,86,37,1,124,20,56,3,79,119,81,5,-2
East Singhbhum,82,72,198,352,21,82,410,513,347,528,5,-15
Garhwa,67,34,0,101,11,49,1,61,99,62,2,-1
Giridih,135,9,39,183,46,25,64,135,181,129,2,6
Godda,73,30,0,103,20,48,1,69,102,67,1,2
Gumla,53,31,3,87,6,37,3,46,83,46,4,0
Hazaribagh,96,30,56,182,35,43,117,195,181,200,1,-5
Jamtara,40,29,0,69,8,34,2,44,68,45,1,-1
Khunti,30,22,0,52,10,20,10,40,52,40,0,0
Koderma,33,34,0,67,7,48,0,55,65,56,2,-1
Latehar,27,29,0,56,10,32,0,42,56,42,0,0
Lohardaga,24,22,0,46,4,26,1,31,46,31,0,0
Pakur,38,23,1,62,11,29,0,40,61,35,1,5
Palamu,84,57,0,141,14,95,1,110,138,109,3,1
Ramgarh,47,70,1,118,27,92,7,126,115,128,3,-2
Ranchi,155,48,320,523,71,53,595,719,510,735,13,-16
Sahibganj,41,36,0,77,12,31,3,46,78,44,-1,2
Seraikela-Kharsawan,82,19,27,128,30,18,33,81,127,81,1,0
Simdega,31,22,0,53,4,15,4,23,53,23,0,0
West Singhbhum,73,64,0,137,25,68,12,105,136,107,1,-2
