district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,tarun_plus_outstanding_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,67375,12057.63,17549,2587.01,44983,39143.05,8271,7321.77,6907,31644.45,709,3423.38,87,380.05,119352,83225,26529,13332
Chatra,22179,4178.62,5430,939.93,14879,12430.94,2442,2052.73,4016,16250.50,184,963.46,84,303.62,41158,33164,8056,3956
Deoghar,24257,4925.43,3215,638.67,22960,21948.00,2893,2882.75,2393,13796.31,262,1103.06,63,750.05,49673,41420,6370,4624
Dhanbad,126648,23655.39,25987,3567.15,69648,56245.77,9673,7895.14,7912,38806.52,823,3962.74,247,1190.98,204455,119899,36483,15425
Dumka,32882,6697.14,6365,976.95,23627,16742.26,3133,2212.15,1155,6022.31,159,523.31,87,514.77,57751,29976,9657,3712
East Singhbhum,88563,17312.96,14681,2697.95,70935,61477.39,9754,8651.97,8869,49129.25,849,4824.31,333,2104.80,168700,130024,25284,16174
Garhwa,47260,9897.17,13849,2271.02,29703,18391.67,4199,1903.09,1386,7470.54,88,371.82,34,421.47,78383,36181,18136,4546
Giridih,145058,27191.41,28170,4055.21,93493,61681.06,10603,7291.59,6173,30584.07,418,2043.81,113,727.50,244837,120184,39191,13391
Godda,46231,8963.28,11039,1690.03,34582,24623.49,4791,3067.88,1579,8488.06,191,887.20,51,551.40,82443,42626,16021,5645
Gumla,30172,5333.17,3601,601.96,14043,11176.27,1621,1484.35,3419,14009.64,156,734.27,11,125.82,47645,30645,5378,2821
Hazaribagh,65163,12233.87,11489,1828.07,51661,42025.86,7108,6563.15,6907,34513.90,631,3101.63,274,1192.92,124005,89967,19228,11493
Jamtara,6302,958.96,894,162.82,4827,6045.91,881,879.60,997,4253.42,64,260.36,24,293.25,12150,11552,1839,1303
Khunti,10434,1508.84,1193,306.71,6746,6507.81,901,850.04,1180,5269.91,61,300.00,9,124.68,18369,13411,2155,1457
Koderma,35064,6427.96,7044,915.95,31385,23467.15,4224,3173.80,3962,19818.54,259,1260.83,117,244.99,70528,49959,11527,5351
Latehar,19951,3882.80,5517,870.88,13396,9152.62,2077,1020.42,944,5155.57,61,277.95,16,206.19,34307,18397,7655,2169
Lohardaga,11802,1879.79,1699,308.86,8078,8110.81,1471,1670.55,2657,11441.31,125,630.27,5,59.26,22542,21491,3295,2610
Pakur,63431,11952.17,8932,1213.85,43071,23480.64,3628,1912.38,1884,6962.92,131,400.32,476,1086.10,108862,43482,12691,3527
Palamu,61795,12954.12,16274,3195.51,49793,30895.97,7762,4620.84,2286,12815.39,316,1320.68,124,1465.92,113998,58131,24352,9137
Ramgarh,43415,8215.77,9583,1536.10,32000,25236.17,4546,3743.47,3636,18869.54,283,1572.81,85,219.90,79136,52541,14412,6852
Ranchi,104131,20886.66,18437,3528.21,91593,82625.36,14650,14048.83,13300,71254.82,1542,8197.50,939,3072.17,209963,177839,34629,25775
Sahibganj,51286,9699.52,13463,2004.01,33416,20655.22,5021,2500.93,1748,8432.27,173,738.64,19,257.73,86469,39045,18657,5244
Seraikela-Kharsawan,28513,4331.37,5534,722.56,19421,18951.79,2422,2310.34,3329,16904.10,214,1168.89,36,461.65,51299,40649,8170,4202
Simdega,7017,803.18,637,146.78,3913,4695.32,579,755.81,1786,7890.21,81,467.35,2,23.24,12718,13412,1297,1370
West Singhbhum,31306,5132.07,5753,928.89,22650,24928.04,3027,2720.90,3288,15632.00,256,1337.53,20,173.65,57264,45866,9036,4987
