district,as_on_31st_march_2025_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,non_prioritysector_no,amt,pct_of_non_priority_sec_loans_to_total_advances,total_advance_no,amt,col_17
Bokaro,633,183.29,118,2752.10,4527,80753.85,33963,89195.65,113701,344661.97,152942,517546.85,53.87,315570,960738.45,
Chatra,231,278.05,1,8.27,214,3466.57,5561,17719.12,16815,39306.70,22822,60778.71,37.71,113365,161180.19,
Deoghar,76,457.12,58,1473.80,1955,39550.08,14218,32140.58,50960,125729.90,67267,199351.49,43.09,223843,462589.68,
Dhanbad,551,571.18,137,2620.28,7790,98645.66,55827,171248.33,179793,626468.36,244098,899553.80,53.82,656711,1671552.58,
Dumka,75,128.24,6,129.68,356,7881.31,6484,13953.66,30283,73676.63,37204,95769.53,39.73,161466,241032.12,
East Singhbhum,637,616.14,1332,31428.54,14396,265858.89,69275,159179.77,291046,981615.81,376686,1438699.15,57.21,642914,2514752.43,
Garhwa,549,101.70,3,91.23,198,3427.69,5908,12737.55,21157,47673.52,27815,64031.69,35.06,142873,182632.28,
Giridih,140,310.22,22,469.41,1047,20496.55,16684,31107.36,56244,182665.81,74137,235049.35,44.32,290458,530404.17,
Godda,166,237.56,4,60.23,366,6229.38,5280,11492.84,25058,71036.02,30874,89056.04,39.84,146950,223520.77,
Gumla,414,504.94,3,60.70,251,5825.53,4410,9936.54,13555,40466.87,18633,56794.58,39.11,97049,145231.88,
Hazaribagh,224,277.04,57,1156.27,2582,45211.23,20717,56376.39,85384,203133.00,108964,306153.94,44.29,300702,691280.86,
Jamtara,3,0.73,6,140.08,238,3048.53,3495,5662.82,13007,33579.63,16749,42431.79,39.82,84623,106567.22,
Khunti,60,30.65,6,120.19,224,5113.87,2930,6501.19,14010,43859.17,17230,55625.07,50.91,64599,109259.13,
Koderma,32,50.90,10,282.12,398,8139.13,6628,13261.96,27586,63263.00,34654,84997.11,38.37,118775,221507.70,
Latehar,50,253.91,2,32.10,127,2751.95,3364,9672.20,13479,45546.59,17022,58256.76,45.06,69293,129291.38,
Lohardaga,41,87.41,3,72.24,236,4864.14,2475,6411.86,12530,31484.97,15285,42920.63,39.30,68899,109220.34,
Pakur,,,5,77.33,351,6142.57,2364,4756.00,27307,44765.31,30027,55741.21,36.19,112187,154005.45,
Palamu,226,133.79,11,221.75,599,12354.60,12295,25222.83,50291,118323.08,63422,156256.04,43.17,243586,361946.18,
Ramgarh,109,288.45,31,878.58,1549,31791.47,16525,58062.54,47497,162291.66,65711,253312.71,57.52,152208,440368.99,
Ranchi,332,36997.25,897,17755.34,21286,484311.62,88267,257407.18,384901,1995669.70,495683,2792141.08,59.23,1720135,4714209.66,
Sahibganj,174,486.52,3,26.56,276,3943.20,5252,10530.81,21390,49393.88,27095,64380.97,39.45,120581,163189.04,
Seraikela-Kharsawan,49,48.07,63,955.08,1919,34686.08,13818,28570.50,39384,143465.99,55233,207725.73,41.42,251913,501551.55,
Simdega,34,138.55,4,46.42,107,1984.01,2372,6194.05,8773,19700.43,11290,28063.46,38.64,50963,72621.29,
West Singhbhum,124,141.31,35,720.57,917,16437.92,11282,27118.48,35940,310645.86,48298,355064.14,67.84,167443,523389.57,
