district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities,limited_services_[eg_only_aeps_receipt_and_payment]
Bokaro,6382,1180,5202,4758,444,2871,2313,569,4580,2228,3450
Chatra,6257,1090,5167,4704,463,2334,2830,491,4673,1577,3554
Deoghar,6324,821,5503,5152,351,2673,2830,432,5071,2446,3079
Dhanbad,7320,1143,6177,5683,494,3545,2632,1263,4869,3046,3578
Dumka,4820,760,4060,3724,336,2637,1423,511,3538,1990,2145
East Singhbhum,4912,887,4025,3597,428,2488,1533,645,3319,2106,2387
Garhwa,10596,2524,8072,7524,548,3800,4267,548,7519,2052,5922
Giridih,14069,2715,11354,10337,1017,7554,3800,976,10378,4558,7114
Godda,7842,1984,5858,5385,473,3547,2311,390,5463,1725,4082
Gumla,3854,616,3238,2811,427,1906,1325,305,2926,1398,1968
Hazaribagh,6559,1361,5198,4578,620,3080,2104,848,4336,2473,2667
Jamtara,2392,356,2036,1917,119,1041,995,138,1890,956,1086
Khunti,1908,314,1594,1315,279,955,636,238,1353,786,870
Koderma,2982,537,2445,2208,237,1287,1155,305,2137,950,1457
Latehar,4976,1043,3933,3653,280,1702,2224,399,3527,1193,2720
Lohardaga,2547,322,2225,2007,218,1021,1200,192,2029,864,1479
Pakur,3742,830,2912,2702,210,1786,1126,296,2602,1088,1732
Palamu,10072,1982,8090,7410,680,5125,2958,938,7145,3483,4517
Ramgarh,3624,592,3032,2678,354,1991,1031,594,2428,1623,1401
Ranchi,8360,1403,6957,6228,729,4504,2420,920,6004,3779,3534
Sahibganj,4910,1114,3796,3513,283,2707,1089,422,3346,1567,2170
Seraikela-Kharsawan,2886,567,2319,2086,233,1198,1119,182,2115,861,1656
Simdega,2587,412,2175,1897,278,1173,1000,229,1937,835,1462
West Singhbhum,4797,1076,3721,3257,464,2399,1318,429,3269,1520,2369
