district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,75084,67214,45149,40411.72,60.12,47706,37560,27706,15253.48,40.61
Chatra,64099,45996,37619,27892.42,60.64,49241,31700,27861,13593.50,42.88
Deoghar,133089,93933,60078,50052.76,53.29,103213,66350,40621,25223.47,38.02
Dhanbad,80802,79898,46724,42700.69,53.44,34984,38544,19229,13750.22,35.67
Dumka,102447,66346,51482,41572.85,62.66,74720,38378,28865,13076.99,34.07
East Singhbhum,117897,107489,66633,60361.49,56.16,80194,65700,46573,27086.59,41.23
Garhwa,110488,106823,44157,51494.35,48.21,67442,59979,23439,21171.62,35.30
Giridih,116947,88754,72670,53395.40,60.16,60333,42079,44910,21280.80,50.57
Godda,91808,71830,45933,40960.96,57.03,64969,47735,31022,20670.59,43.30
Gumla,44618,38795,21218,17585.41,45.33,37096,26759,16588,8948.89,33.44
Hazaribagh,111143,96528,63494,59208.11,61.34,66615,51370,39637,24654.37,47.99
Jamtara,63583,46045,32676,24739.41,53.73,56504,37882,25484,14780.13,39.02
Khunti,35440,23895,19474,12908.33,54.02,22899,14183,15160,6229.94,43.93
Koderma,41056,29854,23555,16508.55,55.30,22141,13411,14507,5859.48,43.69
Latehar,44092,40450,23972,24982.28,61.76,34855,26368,16577,12076.44,45.80
Lohardaga,27805,24525,16409,11865.12,48.38,22622,18887,13445,8032.89,42.53
Pakur,44380,35039,28129,25862.04,73.81,28846,20555,15325,9354.30,45.51
Palamu,160934,149384,58605,70085.71,46.92,98359,88910,30758,28183.37,31.70
Ramgarh,46452,32639,25231,19319.41,59.19,24113,14646,14661,6647.79,45.39
Ranchi,786238,400409,612168,401978.19,100.39,76057,64543,51129,32458.85,50.29
Sahibganj,69065,60979,31932,30837.90,50.57,49365,39899,19521,13238.42,33.18
Simdega,22854,17990,13413,9391.13,52.20,17433,10098,9969,3556.34,35.22
West Singhbhum,75609,53586,41336,29283.50,54.65,63166,34519,31918,13985.55,40.52
