district,as_on_31st_march_2025_export_credit_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,education_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,housing_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,social_infrastructure_priority_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,,,,,0.00,0.00,3442,12886.61,226,660.41,6.57,5.12,3165,29643.21,64,540.79,2.02,1.82,4,5.56,,,0.00,0.00,
Chatra,,,,,0.00,0.00,244,762.99,59,97.73,24.18,12.81,165,1395.23,10,54.35,6.06,3.90,1,0.47,1,0.47,100.00,100.00,
Deoghar,,,,,0.00,0.00,1150,4421.18,111,275.40,9.65,6.23,1597,11068.04,40,108.92,2.50,0.98,,,,,0.00,0.00,
Dhanbad,1,1972.00,,,0.00,0.00,5538,19102.93,376,933.60,6.79,4.89,10002,88087.08,236,1162.52,2.36,1.32,3,0.87,,,0.00,0.00,
Dumka,,,,,0.00,0.00,250,842.31,42,96.78,16.80,11.49,753,6043.58,8,17.65,1.06,0.29,3,1.34,,,0.00,0.00,
East Singhbhum,,,,,0.00,0.00,7825,36016.85,443,1021.96,5.66,2.84,9553,74120.04,252,1823.42,2.64,2.46,72,43.38,1,35.65,1.39,82.17,
Garhwa,,,,,0.00,0.00,285,942.97,42,114.41,14.74,12.13,278,2420.53,7,33.93,2.52,1.40,14,79.63,3,7.43,21.43,9.34,
Giridih,25,5482.00,,,0.00,0.00,1061,3373.73,190,472.49,17.91,14.01,886,7031.33,28,124.12,3.16,1.77,17,8.23,,,0.00,0.00,
Godda,,,,,0.00,0.00,411,1358.06,45,126.68,10.95,9.33,1054,10230.52,6,42.48,0.57,0.42,1,0.11,,,0.00,0.00,
Gumla,,,,,0.00,0.00,451,1156.81,65,133.65,14.41,11.55,270,2451.25,22,116.40,8.15,4.75,2,0.12,1,0.10,50.00,82.24,
Hazaribagh,,,,,0.00,0.00,1498,5514.24,217,615.77,14.49,11.17,2097,17263.75,117,727.75,5.58,4.22,15,7.94,1,0.30,6.67,3.72,
Jamtara,,,,,0.00,0.00,468,722.28,22,56.97,4.70,7.89,331,2255.14,4,18.20,1.21,0.81,,,,,0.00,0.00,
Khunti,,,,,0.00,0.00,175,576.54,22,37.04,12.57,6.42,227,2113.41,6,44.25,2.64,2.09,3,6.80,,,0.00,0.00,
Koderma,,,,,0.00,0.00,577,1949.43,64,122.63,11.09,6.29,558,4089.73,59,323.57,10.57,7.91,1,0.22,,,0.00,0.00,
Latehar,,,,,0.00,0.00,212,576.39,24,72.73,11.32,12.62,185,1920.18,14,102.51,7.57,5.34,1,0.19,,,0.00,0.00,
Lohardaga,,,,,0.00,0.00,227,792.88,51,161.71,22.47,20.40,251,1951.39,12,78.34,4.78,4.01,1,0.41,,,0.00,0.00,
Pakur,,,,,0.00,0.00,113,308.09,15,35.58,13.27,11.55,380,3276.91,4,22.86,1.05,0.70,11,2.51,,,0.00,0.00,
Palamu,,,,,0.00,0.00,805,2671.76,132,412.10,16.40,15.42,765,6384.46,20,95.18,2.61,1.49,18,262.07,2,0.19,11.11,0.07,
Ramgarh,,,,,0.00,0.00,1091,3818.40,90,263.89,8.25,6.91,865,8200.71,36,148.84,4.16,1.82,6,22.67,2,0.03,33.33,0.14,
Ranchi,6,39244.00,,,0.00,0.00,11893,56074.35,773,2118.16,6.50,3.78,11994,140078.42,220,1967.38,1.83,1.40,230,38.95,1,0.65,0.43,1.66,
Sahibganj,,,,,0.00,0.00,580,1294.11,78,172.24,13.45,13.31,560,4216.52,7,27.06,1.25,0.64,,,,,0.00,0.00,
Seraikela-Kharsawan,,,,,0.00,0.00,2204,6456.08,87,253.30,3.95,3.92,1497,10666.93,37,130.01,2.47,1.22,,,,,0.00,0.00,
Simdega,,,,,0.00,0.00,147,378.60,31,79.67,21.09,21.04,120,1009.50,4,8.37,3.33,0.83,1,0.23,1,0.23,100.00,100.00,
West Singhbhum,,,,,0.00,0.00,1511,6066.71,128,337.30,8.47,5.56,885,8146.71,34,250.98,3.84,3.08,2,0.26,1,0.20,50.00,77.98,
