district,total_applications_recd_1st,2nd,3rd,applications_returned_1st,2nd,3rd,applications_returned_after_sanction_1st,2nd,3rd,applications_pending_1st,2nd,3rd,applications_sanctioned_1st,2nd,3rd,applications_sanctioned_but_pending_for_disb_1st,2nd,3rd,total_applications_disbursed_1st,2nd,3rd,npa_1st,2nd,3rd
Bokaro,6227,2008,258,658,392,30,304,140,37,82,44,7,5183,1432,184,77,38,5,5106,1394,179,337,9,
Chatra,1175,541,73,207,256,6,159,60,20,21,8,,788,217,47,11,6,3,777,211,44,113,2,
Deoghar,6419,2125,345,647,722,70,372,142,21,80,24,14,5320,1237,240,42,42,4,5278,1195,236,652,54,
Dhanbad,18154,4403,583,3112,1333,108,1302,484,52,184,38,14,13556,2548,409,133,51,10,13423,2497,399,801,10,
Dumka,1331,479,80,7,38,5,14,16,5,16,10,3,1294,415,67,3,21,1,1291,394,66,238,10,
Garhwa,2113,666,74,191,273,18,250,114,13,34,20,2,1638,259,41,11,15,,1627,244,41,123,2,
Giridih,4818,1293,156,596,198,31,320,95,13,48,15,3,3854,985,109,14,46,3,3840,939,106,592,27,
Godda,1723,710,144,184,167,17,88,51,8,13,11,,1438,481,119,2,4,,1436,477,119,120,3,
Gumla,878,326,40,58,43,8,47,40,2,17,6,1,756,237,29,4,9,,752,228,29,71,1,
Hazaribagh,5075,1021,117,637,162,11,409,249,26,95,17,4,3934,593,76,42,32,,3892,561,76,266,3,
Jamtara,1148,336,38,181,58,3,97,93,11,12,1,,858,184,24,4,11,,854,173,24,46,3,
Khunti,751,344,48,58,85,16,77,41,4,3,3,1,613,215,27,2,3,,611,212,27,22,,
Koderma,2559,1011,203,218,168,30,167,103,26,35,5,2,2139,735,145,25,7,1,2114,728,144,324,25,
Latehar,623,300,112,19,12,5,21,20,11,15,6,4,568,262,92,6,6,6,562,256,86,42,3,
Lohardaga,1287,406,94,204,67,33,70,42,5,18,7,6,995,290,50,17,22,3,978,268,47,52,,
Pakur,815,305,43,122,94,6,70,39,7,8,6,1,615,166,29,10,25,3,605,141,26,31,2,1
Palamu,6074,1823,317,269,328,39,470,204,35,69,55,5,5266,1236,238,47,24,,5219,1212,238,344,6,
Ramgarh,2937,969,156,514,315,31,321,92,19,49,9,4,2053,553,102,41,18,3,2012,535,99,134,2,
Ranchi,17897,5822,804,1179,1558,137,1884,932,82,314,138,49,14520,3194,536,145,217,22,14375,2977,514,624,12,
Sahibganj,2526,740,87,219,145,7,143,111,8,42,38,5,2122,446,67,20,34,2,2102,412,65,202,5,
Seraikela-Kharsawan,3766,1209,141,517,406,29,282,70,5,123,59,3,2844,674,104,30,13,5,2814,661,99,148,3,
Simdega,839,311,61,151,73,11,19,25,1,7,3,6,662,210,43,7,6,1,655,204,42,53,1,
West Singhbhum,2152,762,141,165,228,31,121,67,5,30,2,6,1836,465,99,9,8,1,1827,457,98,83,2,
