district,as_on_31st_march_2025_renewable_energy_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,other_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_other_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,col_26
Bokaro,14,20.25,,,0.00,0.00,19651,7086.87,4606,832.61,23.44,11.75,26276,49642.51,4896,2033.82,18.63,4.10,162628,442896.18,48550,48321.73,29.85,10.91,
Chatra,,,,,0.00,0.00,3391,1125.98,1297,282.04,38.25,25.05,3801,3284.66,1367,434.59,35.96,13.23,90543,100401.48,30801,17315.14,34.02,17.25,
Deoghar,17,21.72,3,0.29,17.65,1.35,12756,4471.41,1003,207.44,7.86,4.64,15520,19982.35,1157,592.04,7.45,2.96,156576,262400.33,31265,18762.43,19.97,7.15,
Dhanbad,3,1.86,,,0.00,0.00,63050,20735.73,11182,1801.11,17.74,8.69,78597,129900.46,11794,3897.22,15.01,3.00,412613,772524.66,110292,56826.29,26.73,7.36,
Dumka,33,28.57,15,16.10,45.45,56.37,15044,5475.79,1885,316.83,12.53,5.79,16083,12391.58,1950,447.37,12.12,3.61,124262,145262.59,27693,12294.23,22.29,8.46,
East Singhbhum,10,19.25,,,0.00,0.00,44499,17257.76,5401,1011.77,12.14,5.86,61959,127457.28,6097,3892.79,9.84,3.05,266228,1076093.32,57233,69869.19,21.50,6.49,
Garhwa,9,3.47,7,2.31,77.78,66.50,7339,2677.48,2635,579.06,35.90,21.63,7925,6124.07,2694,737.14,33.99,12.04,115058,118474.72,34755,13068.04,30.21,11.03,
Giridih,2,3.49,,,0.00,0.00,22168,8017.94,5441,887.48,24.54,11.07,24159,23916.72,5659,1484.09,23.42,6.21,216321,294891.21,76526,34284.56,35.38,11.63,
Godda,37,6.65,33,2.44,89.19,36.72,8427,3400.41,1748,302.96,20.74,8.91,9930,14995.75,1832,474.56,18.45,3.16,116076,134464.73,33313,14872.86,28.70,11.06,
Gumla,1,8.54,,,0.00,0.00,4362,1522.11,445,83.33,10.20,5.47,5086,5138.83,533,333.48,10.48,6.49,78416,88437.30,33363,15955.02,42.55,18.04,
Hazaribagh,3,8.97,,,0.00,0.00,17763,7100.64,2619,499.93,14.74,7.04,21376,29895.53,2954,1843.74,13.82,6.17,191738,385389.55,50695,41224.26,26.44,10.70,
Jamtara,16,4.94,15,2.94,93.75,59.44,2652,728.83,73,10.37,2.75,1.42,3467,3711.18,114,88.48,3.29,2.38,67874,64135.43,11443,6302.05,16.86,9.83,
Khunti,,,,,0.00,0.00,1480,419.20,325,88.36,21.96,21.08,1885,3115.96,353,169.65,18.73,5.44,47369,53634.06,16097,7830.12,33.98,14.60,
Koderma,1,2.03,,,0.00,0.00,7608,2476.96,2269,290.90,29.82,11.74,8745,8518.37,2392,737.10,27.35,8.65,84121,136351.04,26580,18510.71,31.60,13.58,
Latehar,4,1.98,3,0.65,75.00,32.63,3520,877.77,1669,313.94,47.41,35.77,3922,3376.52,1710,489.82,43.60,14.51,52271,71034.63,15043,5917.09,28.78,8.33,
Lohardaga,1,,,,0.00,0.00,4498,1555.07,454,130.83,10.09,8.41,4978,4299.74,517,370.88,10.39,8.63,53614,66299.72,20815,12648.05,38.82,19.08,
Pakur,,,,,0.00,0.00,15842,5592.36,1691,243.63,10.67,4.36,16346,9179.87,1710,302.07,10.46,3.29,82160,98264.45,22920,8413.63,27.90,8.56,
Palamu,6,7.13,1,0.01,16.67,0.14,14316,5941.01,3705,1063.17,25.88,17.90,15910,15266.44,3860,1570.65,24.26,10.29,180164,205615.60,48958,24591.23,27.17,11.96,
Ramgarh,3,7.72,,,0.00,0.00,10415,3649.32,2743,539.18,26.34,14.77,12380,15698.82,2871,951.94,23.19,6.06,86497,187056.28,28962,21194.99,33.48,11.33,
Ranchi,64,110.08,,,0.00,0.00,57779,22562.08,4605,1233.02,7.97,5.47,81966,258107.88,5599,5319.21,6.83,2.06,1224452,1921001.37,77531,136570.63,6.33,7.11,
Sahibganj,40,30.16,6,5.26,15.00,17.45,11543,4264.10,2205,431.01,19.10,10.11,12723,9804.89,2296,635.57,18.05,6.48,93486,98808.06,32158,13635.15,34.40,13.80,
Seraikela-Kharsawan,4,121.29,,,0.00,0.00,11378,4198.35,994,213.19,8.74,5.08,15083,21442.66,1118,596.51,7.41,2.78,196680,293795.24,26822,20700.90,13.64,7.05,
Simdega,,,,,0.00,0.00,2468,768.07,111,45.69,4.50,5.95,2736,2156.40,147,133.95,5.37,6.21,39673,44557.83,12188,6869.21,30.72,15.42,
West Singhbhum,2,3.53,,,0.00,0.00,10021,2975.08,1760,344.84,17.56,11.59,12421,17192.29,1923,933.33,15.48,5.43,119145,168325.43,33114,23494.37,27.79,13.96,
