district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,1003,1477.89,6923,13390.00,396,395.89,119,922.43,,,30,542.87,8471,16729.09
Chatra,1703,737.97,2271,2634.78,3,1.63,28,53.30,2,28.00,12,76.07,4019,3531.75
Deoghar,3978,1349.63,10977,13863.22,84,181.18,79,103.62,3,13.07,11,16.73,15132,15527.45
Dhanbad,940,2370.28,20734,30650.91,455,354.86,288,3002.13,1,0.80,34,440.05,22452,36819.02
Dumka,3865,2275.43,5138,4370.56,27,14.64,16,8.44,2,9.34,8,4.08,9056,6682.49
East Singhbhum,2733,4133.76,10164,24716.31,585,696.93,1807,12741.52,8,15.80,49,240.61,15346,42544.92
Garhwa,4496,1442.11,5112,4499.15,11,13.58,5,16.80,,,13,6.54,9637,5978.19
Giridih,1732,1120.06,16101,15706.97,26,21.77,63,307.50,1,0.49,49,225.04,17972,17381.82
Godda,2770,1252.75,7884,8575.64,21,19.97,30,30.81,,,6,3.18,10711,9882.35
Gumla,2836,2946.04,1969,1938.10,3,1.58,43,135.31,,,1,0.20,4852,5021.23
Hazaribagh,1948,2220.57,9523,13793.17,137,225.54,74,790.40,3,1.61,80,396.78,11765,17428.06
Jamtara,2531,548.96,4912,4138.88,6,0.76,9,46.20,,,9,40.33,7467,4775.13
Khunti,2075,2587.31,749,1284.37,42,30.41,43,71.74,1,0.28,9,24.57,2919,3998.67
Koderma,386,370.79,3576,3730.25,3,0.70,35,95.91,,,18,92.38,4018,4290.02
Latehar,2096,1559.36,3141,3782.83,16,6.29,15,104.51,,,4,2.28,5272,5455.26
Lohardaga,902,1014.55,4263,4198.86,3,1.00,11,9.67,2,10.20,10,4.86,5191,5239.14
Pakur,1481,1131.45,21898,18252.31,1,0.90,58,174.93,2,0.20,4,20.49,23444,19580.29
Palamu,6909,2139.71,6923,7278.64,10,18.52,29,318.26,,,17,39.78,13888,9794.90
Ramgarh,571,1157.36,4307,7280.12,44,52.85,161,910.01,2,0.95,32,492.85,5117,9894.13
Ranchi,15045,26933.47,202153,126225.22,1170,1227.65,447,3864.47,5,5.34,110,2060.75,218930,160316.90
Sahibganj,2088,1417.83,9577,9984.03,5,1.74,21,48.12,,,3,2.18,11694,11453.91
Seraikela-Kharsawan,2005,1169.10,11260,6220.59,38,56.38,70,248.07,,,14,11.25,13387,7705.38
Simdega,3182,3948.95,909,1153.56,2,0.40,11,39.76,,,7,83.34,4111,5226.01
West Singhbhum,3135,2211.40,2530,2941.49,35,48.60,123,465.60,5,7.84,25,27.32,5853,5702.24
