District,target,no_of_apy_accounts_enrolled,of_target_achievement
Adilabad,2684.0,3048.0,114.0
Bhadradri Kothagudem,3058.0,2502.0,82.0
Hanumakonda,4312.0,2547.0,59.0
Hyderabad,25300.0,13061.0,52.0
Jagitial,2266.0,1705.0,75.0
Jangoan,1254.0,940.0,75.0
Jayashankar Bhupalapally,1188.0,940.0,79.0
Jogulamba Gadwal,1078.0,1131.0,105.0
Kamareddy,2112.0,1880.0,89.0
Karimnagar,5038.0,4130.0,82.0
Khammam,4906.0,3308.0,67.0
Kumuram Bheem Asifabad,1210.0,1250.0,103.0
Mahabubabad,1166.0,1621.0,139.0
Mahabubnagar,3674.0,2684.0,73.0
Mancherial,2398.0,1021.0,43.0
Medak,3014.0,2348.0,78.0
Medchal Malkajgiri,10252.0,4751.0,46.0
Mulugu,500.0,151.0,30.0
Nagarkurnool,1672.0,1063.0,64.0
Nalgonda,4950.0,3607.0,73.0
Narayanpet,550.0,810.0,147.0
Nirmal,1782.0,1908.0,107.0
Nizamabad,5566.0,4597.0,83.0
Peddapalli,2222.0,1207.0,54.0
Rajanna Sircilla,1364.0,1257.0,92.0
Ranga Reddy,15004.0,10082.0,67.0
Sangareddy,3916.0,3926.0,100.0
Siddipet,2442.0,2510.0,103.0
Suryapet,2772.0,1967.0,71.0
Vikarabad,1936.0,1464.0,76.0
Wanaparthy,1056.0,694.0,66.0
Warangal,1518.0,1380.0,91.0
Yadadri Bhuvanagiri,1694.0,2014.0,119.0
