District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery %,Overdues
Dimapur,475,2337.92,1015.65,31.89,3,983.76
Kiphire,294,148.75,6.87,0.51,7,6.36
Kohima,310,915.61,308.67,15.02,5,293.65
Longleng,187,279.76,6.19,0.46,7,5.73
Mokokchung,161,909.54,268.36,50.47,19,217.89
Mon,93,162.87,10.38,0.78,8,9.6
Peren,144,342.45,33.62,1.05,3,32.57
Phek,221,572.34,78.58,2.12,3,76.46
Tuensang,283,412.04,4.97,0.37,7,4.6
Wokha,66,158.17,1.88,0.14,7,1.74
Zunheboto,193,456.46,27.81,1.3,5,26.51
