District,Deposit Amount (D),Advance Amount (A),Current C:D Ratio
Dimapur,527467.51,251597.44,47.7
Kiphire,7368.91,6615.49,89.78
Kohima,463052.86,103572.89,22.37
Longleng,5163.1,3733.55,72.31
Mokokchung,60584.71,51650.47,85.25
Mon,25187.48,14176.2,56.28
Peren,9230.93,11238.8,121.75
Phek,21286.28,14607.99,68.63
Tuensang,19465.25,22847.59,117.38
Wokha,27761.12,19284.91,69.47
Zunheboto,21999.13,17956.63,81.62
