district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Dimapur,1887,67793,313,12922,799,25120,189,2101
Kiphire,2169,12197,18,567,239,1031,0,22
Kohima,1823,31616,102,7615,322,8773,54,1265
Longleng,2066,14114,66,148,107,509,0,21
Mokokchung,974,27856,108,1872,324,4956,32,637
Mon,6537,37799,63,408,30,558,17,247
Peren,1555,15533,5,324,25,840,0,9
Phek,1769,19341,23,345,88,946,3,36
Tuensang,5113,28386,62,315,160,992,35,125
Wokha,968,16682,49,1549,287,1838,44,306
Zunheboto,1132,17590,48,780,63,2149,23,76
