District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery Pct,Overdues
Dimapur,6,8.07,2.13,0.42,20,1.71
Kiphire,1,1.47,1.47,1.32,90,0.15
Kohima,9,7.09,2.23,2.05,92,0.18
Longleng,0,0,0,0,,0
Mokokchung,9,4.65,1.77,0.31,18,1.46
Mon,98,175.87,175.87,0,0,175.87
Peren,0,0,0,0,,0
Phek,1,0.06,0.05,0.05,100,0
Tuensang,0,0,0,0,,0
Wokha,4,3.88,0.29,0.29,100,0
Zunheboto,2,1.45,0.12,0.12,100,0
