District,Date of camp held,Block,Village,Conducted by
Kohima,5/13/2019,KOHIMA,DAKLANE,"UBI, KOHIMA BR"
Dimapur,6/6/2019,DIMAPUR,SENJUM,SBI RANGAPAHAR
Phek,6/7/2019,CHIZAMI,CHIZAMI,SBI CHIZAMI
Kiphire,6/6/2019,PUNGRO,PUNGRO,SBI PUNGRO
Peren,6/7/2019,JALUKIE,JALUKIE B,SBI JALUKIE
Mon,6/6/2019,WAKCHING,HOTAHOTI,SBI NAGINIMORA
Mokokchung,07.09.2019,TSURANGKONG,Akumen,SBI TSURANGKONG
Wokha,6/6/2019,SANIS,DOYANG,SBI DOYANG
Tuensang,04.09.2019,SANGSANGYU,Tuensang Village,SBI TUENSANG
