District,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Dimapur,344,293.33,6353,5590.63
Kiphire,77,24.08,842,368.16
Kohima,34,15.8,2820,1412.69
Longleng,3,1.86,285,102
Mokokchung,835,770.47,9904,6902.33
Mon,82,77.36,621,363.55
Peren,126,78.27,3504,2141.33
Phek,296,204.33,3256,1899.13
Tuensang,473,315.46,5121,3073.31
Wokha,236,153.42,1750,1097.43
Zunheboto,429,269.04,1204,519.92
