District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues %,GrossNPA Amt,GrossN- PA %
Dimapur,29406,79056,5813.48,1563.66,27,4249.82,73,8443.88,11
Kiphire,1542,1759.33,113.02,35.64,32,77.38,68,86.38,5
Kohima,11471,22171.54,2003.15,388.97,19,1614.18,81,2305.04,10
Longleng,803,955.01,41.74,22.93,55,18.81,45,118.43,12
Mokokchung,13398,15045,1984.29,1106.46,56,877.83,44,1263.12,8
Mon,1591,1372.55,351.84,42.75,12,309.09,88,283.13,21
Peren,4301,4022.68,852.02,461.98,54,390.04,46,539.76,13
Phek,4517,3746.72,766.76,448.09,58,318.67,42,945.69,25
Tuensang,5884,3609.8,784.46,628.29,80,156.17,20,237.78,7
Wokha,3007,3308.83,370.98,89.45,24,281.53,76,340.15,10
Zunheboto,3072,2504.41,296.88,135.18,46,161.7,54,317.02,13
