district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Dimapur,392,5656.58,715,11112.89,87,1243.4,1194,18012.87
Kiphire,0,0,3,22.97,0,0,3,22.97
Kohima,19,309.55,290,4080.53,11,42.87,320,4432.95
Longleng,0,0,0,0,1,19.07,1,19.07
Mokokchung,0,0,131,794.63,8,42.27,139,836.9
Mon,0,0,22,127.32,1,2.62,23,129.94
Peren,0,0,0,0,13,112.13,13,112.13
Phek,0,0,2,7.36,5,28.87,7,36.23
Tuensang,0,0,7,41.25,5,11.89,12,53.14
Wokha,0,0,35,323.76,3,52.02,38,375.78
Zunheboto,0,0,16,65.83,6,79.42,22,145.25
