district,disburseme_nt_amt,kishore_no_of_a_cs,sanctione_d_amt,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,16.81,151.0,17.79,2.14,10135.0,2.0,10288.0
Bankura,43.69,952.0,49.52,18.63,8979.0,128.0,10059.0
Birbhum,55.45,878.0,57.6,17.28,17410.0,142.0,18430.0
Cooch Behar,42.44,989.0,44.88,16.7,11659.0,96.0,12744.0
Dakshin Dinajpur,26.38,480.0,33.36,9.35,8249.0,49.0,8778.0
Howrah,101.85,1012.0,109.48,22.58,29542.0,237.0,30791.0
Jalpaiguri,68.91,1133.0,77.09,22.87,22858.0,163.0,24154.0
Kolkata,250.63,2851.0,266.69,67.18,49549.0,1195.0,53595.0
Malda,67.23,1341.0,71.46,26.38,15550.0,131.0,17022.0
Murshidabad,140.04,1588.0,163.31,31.8,49490.0,194.0,51272.0
Nadia,116.23,1345.0,129.76,30.46,36428.0,235.0,38008.0
North 24 Parganas,186.83,2789.0,203.3,54.11,44705.0,625.0,48119.0
Paschim Medinipur,100.87,2595.0,110.66,51.77,14548.0,358.0,17501.0
Purba Bardhaman,210.49,2349.0,224.98,51.54,68724.0,526.0,71599.0
Purba Medinipur,81.52,1866.0,88.53,36.59,11291.0,315.0,13472.0
South 24 Parganas,137.43,1783.0,145.46,37.02,41587.0,241.0,43611.0
Uttar Dinajpur,39.69,820.0,44.76,17.77,8830.0,97.0,9747.0
