district,amount_rs_in_lakhs,amount_rs_inlakhs,disbursement_no_of_cases,no_ofcases_sponsored,pending_withbank_fordisburseme_nt_no_of_cases,sanction_ed,subsidy_involved_in_sanctioned_cases_rs_inlakhs,subsidyreleased_no_of_cases,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs
Alipurduar,2539.76,225.03,3933.0,10315.0,247.0,4504.0,3038.09,4231.0,12315.71
Bankura,7206.7,398.72,12604.0,32477.0,558.0,16285.0,9394.66,13920.0,37215.14
Birbhum,8091.0,1022.57,15749.0,40000.0,1777.0,20756.0,11236.44,18426.0,44583.49
Cooch Behar,5314.74,409.84,11464.0,28498.0,764.0,13778.0,6853.63,12414.0,26229.66
Dakshin Dinajpur,4666.36,55.82,10248.0,20984.0,91.0,11623.0,4922.91,10961.0,24954.95
Darjeeling,1463.64,79.36,2696.0,9767.0,70.0,3975.0,1852.87,3046.0,7266.23
Hooghly,8938.89,143.97,15364.0,42452.0,146.0,17650.0,11258.96,16054.0,41738.48
Howrah,5236.69,293.94,12215.0,36658.0,471.0,13443.0,5827.03,13209.0,23678.96
Jalpaiguri,5959.43,216.14,9454.0,20588.0,267.0,12121.0,8606.87,10519.0,39334.73
Jhargram,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
Kalimpong,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
Kolkata,3855.46,156.91,8380.0,22731.0,197.0,9931.0,4794.98,9974.0,18980.75
Malda,7118.83,140.11,13570.0,58502.0,126.0,15325.0,8473.41,14328.0,39444.3
Murshidabad,9924.61,348.71,18896.0,41468.0,527.0,21592.0,11821.47,20424.0,50043.85
Nadia,6407.62,576.99,13157.0,38997.0,806.0,16627.0,8544.2,14614.0,34725.96
Paschim Bardhaman,116.74,166.39,126.0,248.0,185.0,127.0,116.15,0.0,394.25
Paschim Medinipur,10243.85,110.95,14619.0,52514.0,102.0,20235.0,14463.49,15192.0,62485.61
Purba Bardhaman,12484.18,791.85,19848.0,56840.0,886.0,24533.0,16112.09,22162.0,66274.95
Purba Medinipur,9661.73,128.98,16064.0,29402.0,171.0,17516.0,10295.13,16896.0,36654.2
Purulia,4751.88,372.04,7805.0,23706.0,539.0,10362.0,5687.23,8619.0,25520.71
Uttar Dinajpur,5884.19,215.31,9423.0,22550.0,273.0,11089.0,6946.41,9940.0,27423.48
