district,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_06_2017,cumulative_no_of_jlgs_credit_linked_as_on_30_06_2017,loan_disbursed_under_jlg_during_f_y_2017_18_april_to_june,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_june,no_of_jlgs_target_2016_17
Bankura,745.65,938.0,40.25,66.0,7200.0
Birbhum,1845.77,1565.0,48.51,56.0,6000.0
Cooch Behar,4012.22,4651.0,46.85,104.0,2400.0
Dakshin Dinajpur,895.56,825.0,44.11,41.0,1600.0
Darjeeling,850.56,616.0,36.89,48.0,800.0
Hooghly,606.85,3826.0,60.89,180.0,4000.0
Howrah,1285.74,1866.0,90.52,114.0,1600.0
Jalpaiguri,3055.64,3206.0,30.25,55.0,2000.0
Malda,580.59,1291.0,3.51,85.0,5600.0
Murshidabad,6984.55,13319.0,144.92,220.0,7200.0
Nadia,5899.77,5748.0,144.18,220.0,2000.0
Purba Bardhaman,4652.88,3657.0,36.77,67.0,8800.0
Purba Medinipur,3845.12,4821.0,202.77,324.0,6400.0
Purulia,2174.58,2160.0,30.68,56.0,4000.0
Uttar Dinajpur,3856.23,2632.0,20.58,36.0,3200.0
