district,amount_of_loan_disbursed,no_fo_shgs_credit_linked,no_of_active_shgs,sep_g_disburs_ed_by_branch,sep_g_sponsord_ot_bank_branches,sep_i_disburs_ed_by_branch,sep_i_sponsord_ot_bank_branches,shg_credit_linkage_sponsord_ot_bank_branches
Alipurduar,0.0,21.0,520.0,0.0,0.0,0.0,56.0,89.0
Bankura,0.0,26.0,903.0,0.0,0.0,0.0,46.0,57.0
Birbhum,0.0,19.0,1434.0,0.0,0.0,0.0,59.0,202.0
Cooch Behar,0.0,56.0,894.0,0.0,0.0,0.0,77.0,129.0
Dakshin Dinajpur,0.0,13.0,1114.0,0.0,0.0,0.0,29.0,106.0
Darjeeling,0.0,22.0,1157.0,0.0,0.0,0.0,115.0,90.0
Hooghly,0.0,53.0,2363.0,0.0,0.0,12.0,93.0,251.0
Howrah,0.0,7.0,368.0,0.0,0.0,19.0,65.0,76.0
Jalpaiguri,0.0,15.0,666.0,0.0,6.0,3.0,71.0,256.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,7.0,396.0,0.0,0.0,30.0,83.0,119.0
Murshidabad,0.0,5.0,2183.0,0.0,0.0,0.0,83.0,76.0
Nadia,0.0,18.0,3429.0,0.0,0.0,32.0,253.0,666.0
North 24 Parganas,0.0,5.0,8807.0,0.0,0.0,14.0,532.0,1239.0
Paschim Medinipur,0.0,54.0,2024.0,0.0,0.0,0.0,126.0,786.0
Purba Bardhaman,0.0,4.0,2331.0,0.0,0.0,0.0,112.0,136.0
Purba Medinipur,0.0,26.0,1816.0,0.0,0.0,5.0,112.0,264.0
Purulia,0.0,68.0,460.0,0.0,0.0,7.0,96.0,121.0
South 24 Parganas,0.0,16.0,1316.0,0.0,0.0,0.0,140.0,32.0
Uttar Dinajpur,2.2,11.0,1075.0,2.0,4.0,7.0,36.0,41.0
