district,achievement_as_on_june_2017_no,amt,amt_in_lac,average_rs_lac,of_achievement_no,target_for_2017_18_no
Alipurduar,1689.0,26.92,2639.5,1.56,23.98,7044.0
Bankura,4940.0,26.14,7103.54,1.44,31.85,15512.0
Birbhum,3945.0,23.29,7953.74,2.02,22.31,17685.0
Cooch Behar,2437.0,13.8,3508.74,1.44,13.89,17540.0
Dakshin Dinajpur,750.0,7.66,1115.47,1.49,9.38,7992.0
Darjeeling,100.0,4.43,163.62,1.64,4.74,2109.0
Hooghly,2205.0,13.66,3548.9,1.61,10.71,20584.0
Howrah,1672.0,16.62,3604.46,2.16,15.38,10873.0
Jalpaiguri,2321.0,20.73,3657.64,1.58,22.07,10516.0
Jhargram,876.0,13.7,1069.12,1.22,18.66,4695.0
Malda,1976.0,10.71,2921.48,1.48,12.15,16257.0
Murshidabad,2810.0,11.34,4476.05,1.59,11.59,24239.0
Nadia,5275.0,16.12,4412.8,0.84,23.5,22450.0
North 24 Parganas,1707.0,9.18,2703.65,1.58,9.25,18453.0
Paschim Medinipur,3765.0,21.26,5371.83,1.43,25.69,14655.0
Purba Bardhaman,2729.0,12.45,5300.98,1.94,11.89,22950.0
Purba Medinipur,6920.0,25.59,12248.36,1.77,25.81,26816.0
Purulia,1616.0,12.05,2284.29,1.41,12.43,13000.0
South 24 Parganas,2303.0,10.27,3026.69,1.31,12.58,18300.0
Uttar Dinajpur,1018.0,8.34,1557.36,1.53,8.01,12705.0
