district,cd_ratio_as_on_march_2017,cd_ratio_june_2017_amount_in_rs_crore
Alipurduar,40.0,3758.24
Bankura,38.0,9623.34
Birbhum,33.0,11293.16
Cooch Behar,61.0,5796.16
Dakshin Dinajpur,52.0,3063.61
Darjeeling,42.0,15461.82
Hooghly,30.0,35241.55
Howrah,30.0,26065.49
Jalpaiguri,41.0,6471.19
Kolkata,89.0,276594.74
Malda,51.0,7904.34
Murshidabad,47.0,11565.9
Nadia,47.0,20130.95
Paschim Medinipur,40.0,17526.07
Purba Bardhaman,41.0,54470.11
Purba Medinipur,42.0,19093.11
Purulia,40.0,7242.5
Uttar Dinajpur,56.0,4309.98
