district,coverage_percentage_pct_of_eligible_savings_accounts,coverage_percentage_pct_of_eligible_current_accounts
Dhalai,100,100
Gomati,100,100
Khowai,100,100
North Tripura,100,100
Sepahijala,100,100
South Tripura,100,100
Unakoti,100,100
West Tripura,100,100
