District,Eligible Operative Savings Accounts No. of Accounts,"Of which, no. of women accounts",Debit/RuPay cards coverage Total No. of Accounts covered,% coverage,"Out of total no. of women accounts (G6), no of women accounts covered",% coverage for women accounts,Internet Banking coverage Total No. of Accounts covered
Dhalai,566095,281577,175694,6.87,14002,4.97,38872
Gomati,752030,382072,267719,11.56,34030,8.91,86925
Khowai,507333,255432,187070,10.40,24597,9.63,52782
Sepahijala,707768,358473,256798,9.20,26644,7.43,65082
