District,Total RSETIs Functional,No of Pgms,Total Candidates Trained,Male,Female,Bpl,Apl,SC,ST,Obc,Gen,Min ority,Total settled,Self emplyd,Wage emplyd,Bank Finance,Self Finance
Dhalai,1,10,277,38,239,277,0,60,166,35,16,0,112,112,0,70,40
Gomati,1,15,437,32,405,437,0,114,108,94,114,7,191,191,0,90,101
Sepahijala,1,7,196,16,180,196,0,43,55,54,23,21,475,475,0,97,378
Unakoti,1,12,339,17,322,339,0,92,49,117,76,5,134,134,0,43,91
West Tripura,1,11,307,50,257,298,9,48,155,76,19,9,165,165,0,49,116
