district,March 2024,C D Ratio Sept 2024,March 2025,June 2025,Sept 2025,Q-o-Q change,Y-o-Y change
Dhalai,98,98,98,99,92,-7,-6
Gomati,69,69,70,66,68,+2,-1
Khowai,65,63,62,62,60,-2,-3
North Tripura,59,64,63,63,60,-3,-4
Sepahijala,64,61,59,58,59,+1,-2
South Tripura,63,65,60,66,58,-8,-7
Unakoti,68,69,69,71,69,-2,No change
West Tripura,42,43,39,40,40,No change,-3
