district,S.No.,Block,ATM Allocation,Present Status
Dhalai,05,Chawmanu,PNB,"PNB has also requested RBI for dispensation from installation of ATM on ground that Cash Management Agency (third party) is not keen in providing service at the given location, distance of the location from our nearest branch is major hindrance in cash loading from branch."
Gomati,09,Karbook,SBI,Bank is in the process of setting up ATM
North Tripura,02,Kalacherra,PNB,
Sepahijala,10,Nalchar,SBI,Bank is in the process of setting up ATM
South Tripura,13,Rupaichari,SBI,Bank is in the process of setting up ATM
Unakoti,03,Chandipur,PNB,
West Tripura,08,Belbari,PNB,
