District,State,Address,Name of Sponsoring Bank,FLC Code,Special Camp No. of Literacy Camps undertaken,No. of Persons participated,Target Group Specific camp No. of Literacy Camps undertaken
Dhalai,Tripura,LDM(Dhalai),PNB,19302,0,0,0
Gomati,Tripura,TGB Udaipur Branch,TGB,33903,11,728,11
Khowai,Tripura,TGB Khowai Branch,TGB,33701,4,85,4
North Tripura,Tripura,TGB Dharmanagar Branch,TGB,19001,4,86,3
Sepahijala,Tripura,TGB Bishramganj Branch,TGB,33802,6,120,6
South Tripura,Tripura,TGB Santirbazar Branch,TGB,19201,4,104,3
Unakoti,Tripura,LDM(Unakoti ),PNB,35602,13,1505,37
West Tripura,Tripura,LDM(West),PNB,19102,10,530,10
