district,eligible_operative_savings_accounts_no_of_accounts,eligible_operative_savings_accounts_of_which_no_of_women_accounts,debit_rupay_cards_coverage_total_no_of_accounts_covered,debit_rupay_cards_coverage_pct_coverage,debit_rupay_cards_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,debit_rupay_cards_coverage_pct_coverage_for_women_accounts,internet_banking_coverage_total_no_of_accounts_covered,internet_banking_coverage_pct_coverage,internet_banking_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,internet_banking_coverage_pct_coverage_for_women_accounts,mobile_banking_upi_ussd_coverage_total_no_of_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage,mobile_banking_upi_ussd_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,mobile_banking_upi_ussd_coverage_pct_coverage_for_women_accounts,aeps_coverage_total_no_of_accounts_covered,aeps_coverage_pct_coverage,aeps_coverage_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,aeps_coverage_pct_coverage_for_women_accounts,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_total_no_of_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_out_of_total_no_of_women_accounts_g6_no_of_women_accounts_covered,coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards_internet_banking_mobile_banking_upi_ussd_aeps_pct_coverage_for_women_accounts,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage_for_women_accounts,total_no_of_eligible_operative_current_business_accounts,eligible_operative_current_business_accounts_covered_through_net_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_through_net_banking_pct_coverage,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_pos_qr_pct_coverage,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_pct_coverage,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_no_of_accounts_covered,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facilities_net_banking_pos_qr_mobile_banking_pct_coverage,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per_bank_s_board_approved_policies_pct_coverage
Dhalai,566095,281577,175694,31.04,80152,28.47,38872,6.87,14002,4.97,126580,22.36,62813,22.31,445407,78.68,215279,76.45,566095,100,281577,100,6005,5521,1769,32.04,2814,50.97,2690,48.72,5521,100,356
Gomati,752030,382072,267719,35.6,128721,33.69,86925,11.56,34030,8.91,246989,32.84,114556,29.98,557257,74.1,277391,72.6,752030,100,382072,100,9319,11503,3797,33.01,4226,36.74,3655,31.77,11503,100,561
Khowai,507333,255432,187070,36.87,87260,34.16,52782,10.4,24597,9.63,151248,29.81,79634,31.18,361430,71.24,175663,68.77,507333,100,255432,100,4267,6023,2113,35.08,2802,46.52,3240,53.79,6023,100,407
North Tripura,608454,309718,251518,41.34,126454,40.83,70759,11.63,26915,8.69,173834,28.57,77984,25.18,425397,69.91,210232,67.88,608454,100,309718,100,5865,8133,3603,44.3,4514,55.5,2976,36.59,8133,100,500
Sepahijala,707768,358473,256798,36.28,122937,34.29,65082,9.2,26644,7.43,245552,34.69,125089,34.89,513433,72.54,242071,67.53,707768,100,358473,100,7903,8812,2588,29.37,4004,45.44,4486,50.91,8812,100,511
South Tripura,684410,336262,207985,30.39,96947,28.83,57334,8.38,13890,4.13,169427,24.76,80815,24.03,512733,74.92,241660,71.87,684410,100,336262,100,5180,8388,3085,36.78,3979,47.44,3856,45.97,8388,100,727
Unakoti,416802,209675,147952,35.5,75100,35.82,44114,10.58,18434,8.79,120520,28.92,60657,28.93,299236,71.79,147964,70.57,416802,100,209675,100,2037,6231,1995,32.02,2220,35.63,2729,43.8,6231,100,358
West Tripura,1781675,876114,909206,51.03,392299,44.78,488937,27.44,131618,15.02,874152,49.06,360025,41.09,1244307,69.84,546263,62.35,1781675,100,876114,100,26851,38099,20432,53.63,13829,36.3,19946,52.35,38099,100,2760
