district,kharif_loanee_farmers,kharif_non_loanee_farmers
Dhalai,3015,5346
Gomati,2764,9038
Khowai,3663,3793
North Tripura,1121,8071
Sepahijala,1730,3934
South Tripura,7434,9120
Unakoti,1503,2729
West Tripura,1173,6779
