District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,9.0,0.0,0.0,1594.29,3.46,7.02,703.0,33.2,35.47,385.36,0.1,0.49,81.0,0.1,1.14,96.59,37.44,0.0,2965.1,572.21,3537.31,251.75,325.36,4114.42,1195.5,3198.89,58.35,0.0,49.27,93.6,20.61,8.77,0.0,5482.17
Bhadradri Kothagudem,9.0,0.0,0.0,709.79,6.59,4.58,1228.0,4.48,1.28,185.27,0.05,0.1,160.0,0.19,0.57,118.18,70.89,0.0,2423.76,1080.13,3503.89,109.65,341.07,3954.61,710.94,2321.99,44.29,0.0,143.92,350.83,48.62,33.57,0.0,5242.49
Hanumakonda,74.0,0.0,0.0,2756.56,16.03,21.21,2967.0,22.0,5.46,682.35,0.31,0.32,44.0,0.05,3.05,75.47,28.34,0.0,1736.46,994.4,2730.86,144.52,680.84,3556.22,3280.36,3773.14,50.9,0.0,75.58,403.2,96.22,1.64,0.0,7413.22
Hyderabad,390.0,82.85,18.8,69374.4,61.29,5.53,11413.0,635.26,20.91,8557.86,173.72,34.07,33.0,34.4,76.11,759.96,340.35,40.7,0.0,0.0,0.0,0.0,0.0,0.0,59758.43,55482.63,84.4,439.99,1108.88,3037.98,509.95,45.2,836.16,65736.59
Jagitial,52.0,0.0,0.0,589.68,9.16,25.35,1387.0,23.35,17.64,441.16,0.15,0.26,423.0,1.14,3.52,114.82,51.99,0.0,2484.99,850.95,3335.94,223.4,1111.58,4670.92,898.85,2415.3,41.39,8.51,36.14,132.37,56.63,32.38,0.0,5835.8
Jangoan,19.0,0.0,0.0,230.47,6.46,21.08,960.0,8.3,12.12,170.95,0.0,0.0,1.0,0.01,0.93,56.93,27.68,0.0,1840.07,940.93,2781.0,148.91,547.79,3477.7,459.65,1745.13,43.13,0.0,30.64,68.47,8.33,1.08,0.0,4045.87
Jayashankar Bhupalapally,,0.0,0.0,,6.6,36.65,,0.97,1.87,,0.0,0.0,,0.1,11.76,,13.15,0.0,1344.57,372.81,1717.38,99.1,238.94,2055.42,96.73,815.01,36.48,0.0,18.01,51.76,11.52,0.85,0.0,2234.29
Jogulamba Gadwal,3.0,0.0,0.0,310.75,3.52,23.02,537.0,6.53,5.8,104.63,0.0,0.0,2.0,0.03,0.42,8.73,4.51,0.0,3520.34,667.56,4187.9,111.91,415.8,4715.61,474.49,1741.1,32.57,0.0,15.29,112.6,20.97,7.19,0.0,5346.15
Kamareddy,50.0,0.0,0.0,523.13,5.82,15.32,893.0,15.51,10.27,346.92,0.3,1.46,2.0,0.02,0.52,67.36,23.27,0.0,3856.02,840.28,4696.3,132.46,489.09,5317.85,701.06,2412.61,38.71,0.0,37.99,151.02,20.49,3.85,0.0,6232.26
Karimnagar,30.0,0.0,0.0,2380.36,8.06,18.1,1607.0,52.97,27.59,729.12,4.14,22.64,560.0,1.34,3.0,243.27,82.65,0.0,2628.83,1192.3,3821.13,119.49,759.27,4699.89,2997.07,4132.93,51.69,0.0,44.53,191.98,18.29,44.62,0.0,7996.38
Khammam,49.0,0.0,0.0,2194.14,17.53,27.8,2845.0,57.09,49.04,808.36,1.7,5.37,387.0,5.16,26.23,232.72,115.95,0.0,3817.92,2358.57,6176.49,144.63,703.14,7024.26,2591.52,5928.38,60.21,0.0,63.05,116.41,31.68,19.67,0.0,9846.59
Kumuram Bheem Asifabad,12.0,0.0,0.0,152.58,0.67,1.75,137.0,1.35,1.73,39.84,0.0,0.0,35.0,0.0,0.0,26.53,11.26,0.0,1987.28,363.53,2350.81,118.38,281.54,2750.73,260.02,965.8,30.49,0.0,38.38,78.04,28.7,11.21,0.0,3167.08
Mahabubabad,16.0,0.0,0.0,306.05,6.25,46.33,926.0,4.02,16.04,136.97,0.83,8.93,7.0,0.05,4.27,79.38,44.0,0.0,2041.79,840.31,2882.1,137.76,714.76,3734.62,701.92,2286.46,50.97,0.0,13.49,25.06,9.29,1.17,0.0,4485.55
Mahabubnagar,22.0,0.0,0.0,1345.02,5.71,44.71,1151.0,30.31,30.22,538.08,0.21,1.32,1.0,0.0,0.0,33.39,21.76,0.0,3639.15,1162.41,4801.56,101.21,584.24,5487.01,1775.29,2795.62,37.75,0.0,12.77,100.31,15.86,15.31,0.0,7406.55
Mancherial,27.0,0.0,0.0,798.47,4.95,3.58,959.0,19.83,7.38,401.26,0.0,0.0,14.0,0.0,0.0,70.16,37.04,0.0,2879.9,656.28,3536.18,173.83,294.17,4004.18,826.19,2054.51,38.85,0.0,138.28,268.72,37.26,13.62,0.0,5288.25
Medak,17.0,0.0,0.0,601.08,5.86,76.8,573.0,7.45,7.37,199.54,0.3,1.72,0.0,0.0,0.0,170.16,58.6,0.0,2274.55,763.59,3038.14,164.02,469.87,3672.03,1250.51,2162.78,42.78,0.0,7.63,101.11,17.43,6.95,0.0,5055.66
Medchal Malkajgiri,122.0,0.0,0.0,18571.67,50.34,17.95,7934.0,321.2,26.06,6634.92,0.5,0.52,8.0,10.22,24.46,150.47,82.87,0.0,312.34,1456.62,1768.96,227.13,1047.34,3043.43,18604.25,14879.77,63.87,0.0,280.47,1232.46,95.42,41.78,0.0,23297.81
Mulugu,66.0,0.0,0.0,63.55,4.86,29.98,609.0,1.01,1.98,30.69,0.0,0.0,6.0,0.0,0.0,4.25,2.7,0.0,1087.24,303.6,1390.84,61.74,250.76,1703.34,99.87,659.96,35.1,0.0,16.21,50.89,9.13,0.73,0.0,1880.17
Nagarkurnool,9.0,0.0,0.0,457.74,4.94,16.15,543.0,10.28,4.28,171.48,0.0,0.0,2.0,0.02,0.2,23.5,10.76,0.0,4289.91,1000.05,5289.96,119.18,731.61,6140.75,638.73,2681.99,37.96,0.0,30.58,239.97,6.15,9.87,0.0,7066.05
