District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,116684.0,8.53,104.8,142.86,5.43,23.37,141.0,327.38,61.4,2200.77,326.98,45.56,105113.0,1184.63,74.3,5738.54,1852.95,64.42,8.14,23.23,533.17,717.65,1594.32,2876.51
Bhadradri Kothagudem,305065.0,10.11,125.0,414.91,11.76,75.72,236.0,116.95,53.64,926.64,336.07,33.95,138764.0,817.4,58.12,5030.15,1292.29,48.99,8.09,15.53,218.02,989.94,1406.28,2637.86
Hanumakonda,212293.0,400.5,95.91,250.16,40.13,85.2,971.0,505.55,83.77,4142.82,572.02,78.23,192557.0,3563.07,146.25,11840.6,5081.27,119.96,417.59,47.1,603.53,731.19,2436.31,4235.72
Hyderabad,206601.0,2693.76,0.0,712.11,541.98,59.78,9997.0,8091.94,71.78,58279.1,6069.63,44.85,2589234.0,149962.72,66.55,415850.64,167360.03,66.66,0.0,906.62,11274.0,13533.0,225345.0,251059.0
Jagitial,236842.0,14.67,235.5,324.43,11.38,56.56,335.0,87.82,65.75,655.46,333.01,85.59,100279.0,358.35,24.65,2694.35,805.23,40.21,6.23,20.12,133.56,389.07,1453.53,2002.51
Jangoan,170791.0,17.83,308.5,155.27,4.63,94.3,117.0,78.72,80.75,522.27,85.35,52.0,34002.0,165.32,65.75,1553.75,351.85,67.18,5.78,4.91,97.49,164.13,251.43,523.74
Jayashankar Bhupalapally,,0.52,68.42,,1.69,61.68,,31.54,74.21,,79.51,76.01,,111.51,61.89,,224.77,67.95,0.76,2.74,42.5,104.6,180.17,330.77
Jogulamba Gadwal,164405.0,15.29,346.7,151.1,3.29,104.1,79.0,54.02,83.62,373.86,79.12,69.94,30571.0,174.17,71.35,1260.74,325.89,75.9,4.41,3.16,64.6,113.12,244.09,429.38
Kamareddy,297392.0,6.71,82.23,324.16,5.72,78.36,174.0,105.61,73.44,856.0,200.43,71.68,45490.0,283.27,77.96,2324.6,601.74,75.01,8.16,7.3,143.8,279.61,363.36,802.23
Karimnagar,265218.0,73.94,121.9,246.69,32.62,72.09,886.0,272.14,63.84,2253.48,560.1,74.57,177707.0,1219.24,83.77,7345.51,2158.04,78.79,60.64,45.25,426.28,751.13,1455.54,2738.84
Khammam,571412.0,30.51,112.9,724.87,48.09,66.91,1379.0,505.78,88.9,4220.71,357.27,66.63,190374.0,1323.35,77.44,9733.66,2265.0,77.76,27.02,71.87,568.96,536.22,1708.84,2912.91
