District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,54.0,17.0,39.0,110.0
Bhadradri Kothagudem,67.0,112.0,0.0,179.0
Hanumakonda,37.0,20.0,112.0,169.0
Hyderabad,2.0,9.0,1138.0,1149.0
Jagitial,67.0,37.0,29.0,133.0
Jangoan,32.0,31.0,1.0,64.0
Jayashankar Bhupalapally,27.0,22.0,0.0,49.0
Jogulamba Gadwal,22.0,40.0,0.0,62.0
Kamareddy,74.0,65.0,1.0,140.0
Karimnagar,92.0,41.0,91.0,224.0
Khammam,97.0,63.0,95.0,255.0
Kumuram Bheem Asifabad,41.0,14.0,1.0,56.0
Mahabubabad,25.0,48.0,1.0,74.0
Mahabubnagar,50.0,26.0,64.0,140.0
Mancherial,47.0,74.0,7.0,128.0
Medak,59.0,50.0,2.0,111.0
Medchal Malkajgiri,43.0,115.0,517.0,675.0
Mulugu,26.0,11.0,1.0,38.0
Nagarkurnool,48.0,43.0,1.0,92.0
Nalgonda,93.0,45.0,97.0,235.0
Narayanpet,27.0,28.0,0.0,55.0
Nirmal,56.0,35.0,5.0,96.0
Nizamabad,147.0,57.0,84.0,288.0
Peddapalli,42.0,47.0,29.0,118.0
Rajanna Sircilla,39.0,30.0,6.0,75.0
Ranga Reddy,155.0,114.0,529.0,798.0
Sangareddy,90.0,122.0,40.0,252.0
Siddipet,74.0,47.0,36.0,157.0
Suryapet,64.0,55.0,44.0,163.0
Vikarabad,57.0,46.0,4.0,107.0
Wanaparthy,23.0,37.0,1.0,61.0
Warangal,42.0,22.0,72.0,136.0
Yadadri Bhuvanagiri,56.0,54.0,3.0,113.0
