District,during_h1_fy_2024_25_no,approved_amt,cumulative_as_on_30_09_2024_no
Adilabad,1135.0,122.12,7663.0
Bhadradri Kothagudem,466.0,28.8,2748.0
Hanumakonda,808.0,84.09,11636.0
Hyderabad,7652.0,1832.76,81317.0
Jagitial,406.0,40.16,1397.0
Jangoan,167.0,19.95,872.0
Jayashankar Bhupalapally,90.0,10.94,801.0
Jogulamba Gadwal,125.0,11.45,1154.0
Kamareddy,302.0,31.76,1921.0
Karimnagar,1142.0,95.47,10923.0
Khammam,955.0,87.0,11034.0
Mahabubabad,314.0,36.62,1086.0
Mahabubnagar,667.0,70.44,13085.0
Mancherial,241.0,25.16,1132.0
Medak,836.0,90.71,7972.0
Medchal Malkajgiri,638.0,148.15,3600.0
Nagarkurnool,175.0,19.45,719.0
Nalgonda,1377.0,139.22,15437.0
Nirmal,279.0,32.06,1587.0
Nizamabad,755.0,80.72,9042.0
Peddapalli,217.0,35.52,1248.0
Rajanna Sircilla,126.0,10.38,908.0
Ranga Reddy,2043.0,326.1,30918.0
Sangareddy,565.0,70.53,2927.0
Siddipet,509.0,43.32,2156.0
Suryapet,319.0,35.95,2400.0
Vikarabad,139.0,16.54,1101.0
Wanaparthy,184.0,12.72,576.0
Warangal,400.0,42.49,2594.0
Yadadri Bhuvanagiri,284.0,22.65,1484.0
