District,cd_ratio
Chittoor,64.83
East Godavari,120.87
Guntur,145.15
Krishna,128.98
Kurnool,119.12
Prakasam,164.28
Spsr Nellore,141.37
Srikakulam,93.28
Visakhapatanam,122.25
Vizianagaram,100.88
West Godavari,146.26
Y.s.r.,106.37
