district,cumulative_amount_of_loan_disbursed_under_jlg_as_on_31_12_2016,cumulative_no_of_jlgs_credit_linked_as_on_31_12_2016,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_december,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_december,no_of_jlgs_target_2016_17
Bankura,246.84,834.0,86.87,144.0,7200.0
Birbhum,1168.32,1501.0,138.3,137.0,6000.0
Cooch Behar,3374.66,4487.0,97.11,384.0,2400.0
Dakshin Dinajpur,374.41,764.0,127.41,128.0,1600.0
Darjeeling,314.21,556.0,101.64,108.0,800.0
Hooghly,403.85,3488.0,206.85,526.0,4000.0
Howrah,814.64,1712.0,284.44,342.0,1600.0
Jalpaiguri,2234.41,3124.0,96.23,148.0,2000.0
Malda,421.88,1146.0,14.46,281.0,5600.0
Murshidabad,5123.44,12984.0,304.22,653.0,7200.0
Nadia,4289.74,5488.0,506.31,786.0,2000.0
North 24 Parganas,8574.12,6698.0,554.44,1128.0,3600.0
Purba Bardhaman,3127.76,3572.0,107.48,158.0,8800.0
Purba Medinipur,2697.46,4246.0,741.11,956.0,6400.0
Purulia,1789.64,2074.0,80.42,106.0,4000.0
South 24 Parganas,6485.23,8479.0,188.74,384.0,4000.0
Uttar Dinajpur,2567.74,2584.0,38.15,64.0,3200.0
