district,amt_rs_in_lac,total_no
Alipurduar,2472.28,5716.0
Bankura,22937.42,62093.0
Birbhum,60819.69,187232.0
Cooch Behar,11131.35,30181.0
Darjeeling,1281.62,3462.0
Hooghly,40468.11,109373.0
Howrah,7683.16,31740.0
Jalpaiguri,9054.27,24471.0
Malda,7868.84,21472.0
Murshidabad,12343.68,33932.0
Nadia,77752.65,105071.0
North 24 Parganas,10948.17,33563.0
Paschim Medinipur,36496.05,125665.0
Purba Bardhaman,57096.43,170159.0
Purba Medinipur,77302.87,208927.0
Purulia,3840.76,17568.0
South 24 Parganas,13531.8,47698.0
Uttar Dinajpur,5381.26,16213.0
