district,amount_rs_inlakhs,amount_rsin_lakhs,disbursement_no_of_cases,no_ofcases_sponsored,pendingwithbank_fordisbursement_no_of_cases,sanction_ed,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidyreleased_no_of_cases,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs
Alipurduar,299.19,2330.22,3693.0,9192.0,343.0,4125.0,2758.27,4083.0,11388.0
Bankura,408.6,7056.43,12298.0,30072.0,549.0,14990.0,8714.62,13604.0,34763.27
Birbhum,426.02,8153.41,15882.0,37734.0,701.0,19665.0,10624.76,17411.0,42576.81
Cooch Behar,202.95,5155.75,11217.0,26096.0,384.0,12343.0,5855.24,11783.0,23328.72
Dakshin Dinajpur,183.42,4435.08,9791.0,19401.0,293.0,11127.0,4759.05,10780.0,23920.28
Darjeeling,62.53,1464.84,2701.0,9554.0,51.0,3330.0,1787.69,3019.0,7076.39
Hooghly,132.81,8344.99,14747.0,38512.0,151.0,16514.0,10213.31,15296.0,38243.94
Howrah,119.87,5019.71,11882.0,35544.0,175.0,12860.0,5445.03,12568.0,22438.16
Jalpaiguri,503.88,5435.38,8889.0,17624.0,561.0,10538.0,6736.53,10214.0,33538.13
Kolkata,193.04,3538.54,8100.0,22278.0,223.0,9607.0,4204.81,9716.0,17025.3
Malda,113.76,6861.86,13128.0,57648.0,170.0,14708.0,7761.11,13890.0,37069.98
Murshidabad,514.83,9356.14,18189.0,39368.0,746.0,20170.0,10740.23,19909.0,46296.37
Nadia,300.12,6436.92,13178.0,38395.0,411.0,16254.0,8230.6,14224.0,33882.41
Paschim Medinipur,110.95,10099.02,14509.0,47610.0,102.0,18772.0,13066.65,15082.0,59401.76
Purba Medinipur,216.75,8906.03,14986.0,26133.0,311.0,15288.0,8790.47,15958.0,31593.42
Purulia,187.81,4656.29,7713.0,22796.0,250.0,8806.0,5512.08,8236.0,24847.15
Uttar Dinajpur,316.57,5046.19,8385.0,20321.0,422.0,10047.0,6126.59,9014.0,24635.26
