district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_3,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,sl_no_1
Alipurduar,24.0,,826.0,,80.0,14.0,322.0,,98.0,
Bankura,102.0,3.0,824.0,127.0,222.0,58.0,541.0,84.0,142.0,8.0
Birbhum,87.0,,542.0,,210.0,47.0,422.0,,88.0,14.0
Cooch Behar,97.0,8.0,6042.0,642.0,141.0,88.0,4621.0,421.0,714.0,36.0
Dakshin Dinajpur,54.0,3.0,856.0,162.0,79.0,44.0,621.0,76.0,52.0,6.0
Darjeeling,36.0,7.0,2084.0,542.0,73.0,11.0,1281.0,342.0,425.0,22.0
Hooghly,137.0,8.0,5239.0,218.0,171.0,126.0,2288.0,102.0,984.0,12.0
Howrah,128.0,5.0,3484.0,452.0,188.0,102.0,1856.0,208.0,954.0,10.0
Jalpaiguri,18.0,16.0,1253.0,2044.0,79.0,16.0,844.0,1577.0,202.0,20.0
Malda,84.0,3.0,1124.0,108.0,178.0,42.0,942.0,86.0,124.0,31.0
Murshidabad,145.0,8.0,9562.0,412.0,231.0,136.0,7235.0,258.0,724.0,39.0
Nadia,104.0,6.0,1247.0,134.0,192.0,62.0,613.0,72.0,321.0,9.0
Paschim Medinipur,204.0,,8451.0,,319.0,144.0,5217.0,,1126.0,
Purba Bardhaman,184.0,3.0,6237.0,542.0,367.0,94.0,4381.0,344.0,846.0,13.0
Purba Medinipur,76.0,,11756.0,,293.0,42.0,8124.0,,1457.0,
Purulia,74.0,,2484.0,,124.0,51.0,1749.0,,447.0,24.0
Uttar Dinajpur,49.0,4.0,641.0,214.0,93.0,31.0,513.0,116.0,81.0,4.0
