district,Overall CD Ratio,cd_ratio_december_2016_amount_in_rs_crore
Alipurduar,38.0,3932.75
Bankura,27.0,11422.88
Birbhum,35.0,11667.27
Cooch Behar,63.0,5854.04
Dakshin Dinajpur,56.0,2874.78
Darjeeling,55.0,14336.35
Hooghly,26.0,33734.4
Howrah,68.0,31272.22
Jalpaiguri,40.0,6560.0
Kolkata,91.0,273402.03
Malda,50.0,7235.73
Murshidabad,50.0,10827.43
Nadia,42.0,17902.19
Paschim Medinipur,43.0,19258.44
Purba Bardhaman,38.0,53155.62
Purba Medinipur,47.0,17885.43
Purulia,45.0,7947.09
Uttar Dinajpur,56.0,4327.75
