district,in_process,no_of_candidates_trained,no_of_training_conducted,of_settlement,own,self_employed_bank,total_settled,wage_employed
Bankura,1941.0,4538.0,197.0,55.0,1008.0,1478.0,2486.0,517.0
Birbhum,1993.0,4850.0,161.0,59.0,620.0,2237.0,2857.0,5.0
Cooch Behar,481.0,1808.0,70.0,73.0,665.0,662.0,1327.0,
Darjeeling,411.0,1117.0,44.0,63.0,196.0,510.0,706.0,
Hooghly,662.0,4246.0,161.0,72.0,488.0,2549.0,3037.0,
Howrah,2218.0,10956.0,444.0,78.0,6919.0,1579.0,8492.0,527.0
Jalpaiguri,719.0,3619.0,187.0,80.0,206.0,2694.0,2900.0,40.0
Malda,1610.0,4183.0,136.0,62.0,976.0,1597.0,2573.0,263.0
Murshidabad,1881.0,5858.0,197.0,68.0,1893.0,2084.0,3977.0,
Nadia,1078.0,3087.0,122.0,65.0,1315.0,694.0,2009.0,
North 24 Parganas,588.0,4364.0,161.0,87.0,1708.0,2067.0,3775.0,
Purba Bardhaman,1225.0,3940.0,152.0,69.0,1326.0,1389.0,2715.0,
Purba Medinipur,920.0,3773.0,130.0,76.0,1558.0,1291.0,2849.0,26.0
Purulia,1412.0,2729.0,106.0,46.0,355.0,896.0,1251.0,
South 24 Parganas,1818.0,5386.0,204.0,66.0,475.0,3073.0,3548.0,33.0
Uttar Dinajpur,1113.0,3210.0,131.0,65.0,626.0,1470.0,2096.0,7.0
