district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,4535.91,1695.96,37.3896,3977.1,4487.6,558.81,14.0507,1445.09,1602.2,250.87,17.3602,36.3353,35.7028,40
Baloda Bazar,5042.48,2935.82,58.2217,4952.02,5405.34,90.46,1.8267,2601.57,2927.5,334.25,12.848,52.5355,54.1594,40
Balrampur,2381.18,955.22,40.1154,2134.64,2292.84,246.54,11.5495,779.6,927.38,175.62,22.5269,36.5214,40.4468,40
Bastar,5191.25,3264.78,62.8901,4972.68,5088.21,218.57,4.3954,3088.73,3096.97,176.05,5.6998,62.114,60.8656,40
Bemetara,3238.25,1711.63,52.8566,2808.66,3251.81,429.59,15.2952,1464.38,1720.45,247.25,16.8843,52.138,52.9075,40
Bijapur,972.59,478.7,49.2191,955.44,949.87,17.15,1.795,365.2,468.01,113.5,31.0789,38.2232,49.271,40
Bilaspur,26224.65,13409.54,51.1333,22305.87,26709.09,3918.78,17.5684,10387.56,12417.64,3021.98,29.0923,46.5687,46.4922,40
Dantewada,2435.54,3093.55,127.017,2243.62,2328.07,191.92,8.554,1730.14,2047.96,1363.41,78.8034,77.1138,87.9681,40
Dhamtari,4728.12,2866.42,60.6249,4329.07,4698.5,399.05,9.2179,2373.75,2712.95,492.67,20.7549,54.8328,57.7408,40
Durg,29815.92,15933.99,53.4412,27424.49,29834.75,2391.43,8.7201,13890.95,15830.42,2043.04,14.7077,50.6516,53.0603,40
Gariaband,1921.86,1028.96,53.5398,1731.98,1841.4,189.88,10.9632,798.67,948.57,230.29,28.8342,46.1131,51.5135,40
Gaurela-Pendra-Marwahi,1232.82,529.5,42.9503,1085.7,1185.47,147.12,13.5507,410.37,497.67,119.13,29.0299,37.7977,41.9808,40
Janjgir-Champa,5808.27,2740.04,47.1748,7276.64,7950.78,-1468.37,-20.1792,3231.4,3713.28,-491.36,-15.2058,44.4079,46.7033,40
Jashpur,3447.69,1520.48,44.1014,3065.14,3372.65,382.55,12.4807,1208.44,1425.4,312.04,25.8217,39.4253,42.2635,40
Kabirdham,2804.33,1834.73,65.4249,2376.68,2647.81,427.65,17.9936,1629.06,1859.33,205.67,12.6251,68.5435,70.2214,40
Kanker,3532.01,1935.97,54.8121,3184.9,3435.01,347.11,10.8986,1544.35,1889.57,391.62,25.3582,48.4897,55.0092,40
Khairagarh-Chhuikhadan-Gandai,1248.42,598.29,47.9238,0,0,1248.42,_,0,0,598.29,_,0,0,40
Kondagaon,2020.75,1232.58,60.9962,1804.45,1950.3,216.3,11.987,998.5,1173.67,234.08,23.4432,55.3354,60.1789,40
Korba,10601.24,6237.21,58.8347,10286.77,10544.3,314.47,3.057,4953.95,5722.28,1283.26,25.9038,48.1585,54.2689,40
Korea,2029.1,1724.61,84.9938,5360.07,5498.17,-3330.97,-62.1442,1407.13,2688.97,317.48,22.5622,26.2521,48.9066,40
Mahasamund,4213.02,3190.55,75.7307,3630.81,4142.06,582.21,16.0353,2575.53,3039.89,615.02,23.8794,70.9354,73.3908,40
Manendragarh-Chirmiri-Bharatpur,3571.73,1037.24,29.0403,0,0,3571.73,_,0,0,1037.24,_,0,0,40
Mohla-Manpur-Ambagarh Chowki,946.39,251.61,26.5863,0,0,946.39,_,0,0,251.61,_,0,0,40
Mungeli,1982.27,1125.71,56.7889,1766.92,1956.81,215.35,12.1879,946.11,1095.7,179.6,18.983,53.5457,55.9942,40
Narayanpur,715.11,301.38,42.1446,636.67,687.05,78.44,12.3204,236.21,281.99,65.17,27.5899,37.1009,41.0436,40
Raigarh,9329.78,6669.93,71.4908,9702.18,10321.46,-372.4,-3.8383,5885.45,7142.21,784.48,13.3291,60.6611,69.1977,40
Raipur,74635.04,81721.78,109.4952,65226.7,70528.79,9408.34,14.4241,67408.91,76047.5,14312.87,21.2329,103.3456,107.8248,40
Rajnandgaon,6834.63,3735.14,54.6502,7872.87,8944.17,-1038.24,-13.1876,3765.55,4380.83,-30.41,-0.8076,47.8294,48.9797,40
Sakti,2436.84,1179.1,48.3864,0,0,2436.84,_,0,0,1179.1,_,0,0,40
Sarangarh-Bilaigarh,1850.77,934.36,50.4849,0,0,1850.77,_,0,0,934.36,_,0,0,40
Sukma,948.14,397.02,41.8736,831.89,873.33,116.25,13.9742,318.9,393.36,78.12,24.4967,38.3344,45.0414,40
Surajpur,4264.54,1497.65,35.1187,3978.06,4108.3,286.48,7.2015,1246.29,1456.44,251.36,20.1687,31.3291,35.4512,40
Surguja,6931.2,3404.12,49.113,6125.47,6785.5,805.73,13.1538,2692.43,3241.1,711.69,26.433,43.9547,47.7651,40
