district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,106,69,36,1,66,69,3,4.5455,37,35,-1,-2.7027,0,1,1,_,103,105,3,2.9126
Baloda Bazar,112,48,64,0,58,56,-10,-17.2414,62,64,2,3.2258,0,0,0,0,120,120,-8,-6.6667
Balrampur,70,57,12,1,49,54,8,16.3265,15,12,-3,-20,0,1,1,_,64,67,6,9.375
Bastar,115,72,4,39,66,68,6,9.0909,8,4,-4,-50,33,39,6,18.1818,107,111,8,7.4766
Bemetara,79,52,26,1,49,52,3,6.1224,26,26,0,0,1,1,0,0,76,79,3,3.9474
Bijapur,43,36,7,0,35,34,1,2.8571,7,8,0,0,0,0,0,0,42,42,1,2.381
Bilaspur,253,72,43,138,71,69,1,1.4085,43,44,0,0,136,137,2,1.4706,250,250,3,1.2
Dantewada,43,22,21,0,22,21,0,0,19,21,2,10.5263,0,0,0,0,41,42,2,4.878
Dhamtari,112,53,22,37,54,53,-1,-1.8519,28,22,-6,-21.4286,28,38,9,32.1429,110,113,2,1.8182
Durg,296,76,40,180,76,74,0,0,38,40,2,5.2632,169,174,11,6.5089,283,288,13,4.5936
Gariaband,59,34,25,0,34,33,0,0,22,23,3,13.6364,0,0,0,0,56,56,3,5.3571
Gaurela-Pendra-Marwahi,22,7,15,0,7,7,0,0,13,15,2,15.3846,0,0,0,0,20,22,2,10
Janjgir-Champa,117,57,58,2,88,87,-31,-35.2273,72,77,-14,-19.4444,3,2,-1,-33.3333,163,166,-46,-28.2209
Jashpur,86,42,43,1,40,41,2,5,40,42,3,7.5,0,1,1,,80,84,6,7.5
Kabirdham,80,41,37,2,37,41,4,10.8108,35,36,2,5.7143,2,2,0,0,74,79,6,8.1081
Kanker,100,61,38,1,57,60,4,7.0175,32,34,6,18.75,1,1,0,0,90,95,10,11.1111
Khairagarh-Chhuikhadan-Gandai,36,20,14,2,0,0,20,_,0,0,14,_,0,0,2,_,0,0,36,_
Kondagaon,55,27,27,1,28,28,-1,-3.5714,23,26,4,17.3913,1,1,0,0,52,55,3,5.7692
Korba,129,42,28,59,40,41,2,5,27,27,1,3.7037,63,58,-4,-6.3492,130,126,-1,-0.7692
Korea,36,14,21,1,40,40,-26,-65,46,47,-25,-54.3478,2,2,-1,-50,88,89,-52,-59.0909
Mahasamund,126,52,73,1,52,51,0,0,70,72,3,4.2857,1,1,0,0,123,124,3,2.439
Manendragarh-Chirmiri-Bharatpur,55,26,28,1,0,0,26,_,0,0,28,_,0,0,1,_,0,0,55,_
Mohla-Manpur-Ambagarh Chowki,30,28,1,1,0,0,28,_,0,0,1,_,0,0,1,_,0,0,30,_
Mungeli,52,23,28,1,22,23,1,4.5455,25,28,3,12,1,1,0,0,48,52,4,8.3333
Narayanpur,20,7,13,0,8,7,-1,-12.5,12,13,1,8.3333,0,0,0,0,20,20,0,0
Raigarh,143,65,27,51,85,83,-20,-23.5294,38,41,-11,-28.9474,51,51,0,0,174,175,-31,-17.8161
Raipur,521,103,67,351,103,101,0,0,60,68,7,11.6667,322,335,29,9.0062,485,504,36,7.4227
Rajnandgaon,122,49,22,51,95,95,-46,-48.4211,36,37,-14,-38.8889,50,54,1,2,181,186,-59,-32.5967
Sakti,53,32,21,0,0,0,32,_,0,0,21,_,0,0,0,0,0,0,53,_
Sarangarh-Bilaigarh,46,30,16,0,0,0,30,_,0,0,16,_,0,0,0,0,0,0,46,_
Sukma,32,26,6,0,25,26,1,4,6,6,0,0,0,0,0,0,31,32,1,3.2258
Surajpur,85,57,25,3,55,57,2,3.6364,26,24,-1,-3.8462,3,3,0,0,84,84,1,1.1905
Surguja,104,57,3,44,55,56,2,3.6364,11,3,-8,-72.7273,34,43,10,29.4118,100,102,4,4
