district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,84,37,46,1,27,32,10,37.037,51,46,-5,-9.8039,0,1,1,,78,79,6,7.6923
Baloda Bazar,94,20,72,2,18,18,2,11.1111,69,69,3,4.3478,1,1,1,100,88,88,6,6.8182
Balrampur,34,18,15,1,15,16,3,20,12,15,3,25,0,0,1,_,27,31,7,25.9259
Bastar,110,22,5,83,19,17,3,15.7895,9,4,-4,-44.4444,78,84,5,6.4103,106,105,4,3.7736
Bemetara,52,21,30,1,19,20,2,10.5263,34,32,-4,-11.7647,0,1,1,_,53,53,-1,-1.8868
Bijapur,19,8,11,0,8,8,0,0,11,10,0,0,0,0,0,0,19,18,0,0
Bilaspur,320,28,34,258,25,25,3,12,26,30,8,30.7692,244,259,14,5.7377,295,314,25,8.4746
Dantewada,49,6,43,0,6,6,0,0,42,42,1,2.381,0,0,0,0,48,48,1,2.0833
Dhamtari,92,21,25,46,18,18,3,16.6667,28,23,-3,-10.7143,46,46,0,0,92,87,0,0
Durg,461,49,29,383,44,47,5,11.3636,34,28,-5,-14.7059,374,370,9,2.4064,452,445,9,1.9912
Gariaband,46,23,23,0,14,18,9,64.2857,21,23,2,9.5238,1,0,-1,-100,36,41,10,27.7778
Gaurela-Pendra-Marwahi,23,0,22,1,0,0,0,0,21,22,1,4.7619,1,1,0,0,22,23,1,4.5455
Janjgir-Champa,110,35,74,1,40,45,-5,-12.5,93,93,-19,-20.4301,5,2,-4,-80,138,140,-28,-20.2899
Jashpur,58,10,46,2,11,9,-1,-9.0909,45,45,1,2.2222,1,2,1,100,57,56,1,1.7544
Kabirdham,69,15,53,1,12,14,3,25,53,53,0,0,1,1,0,0,66,68,3,4.5455
Kanker,73,24,48,1,21,19,3,14.2857,44,50,4,9.0909,1,1,0,0,66,70,7,10.6061
Khairagarh-Chhuikhadan-Gandai,23,7,14,2,0,0,7,_,0,0,14,_,0,0,2,_,0,0,23,_
Kondagaon,39,5,33,1,3,4,2,66.6667,33,32,0,0,0,0,1,_,36,36,3,8.3333
Korba,168,21,21,126,20,18,1,5,17,19,4,23.5294,129,128,-3,-2.3256,166,165,2,1.2048
Korea,41,2,38,1,13,10,-11,-84.6154,55,59,-17,-30.9091,0,2,1,,68,71,-27,-39.7059
Mahasamund,98,31,67,0,21,24,10,47.619,65,67,2,3.0769,1,0,-1,-100,87,91,11,12.6437
Manendragarh-Chirmiri-Bharatpur,32,8,23,1,0,0,8,_,0,0,23,_,0,0,1,_,0,0,32,_
Mohla-Manpur-Ambagarh Chowki,16,15,1,0,0,0,15,_,0,0,1,_,0,0,0,0,0,0,16,_
Mungeli,41,6,27,8,5,6,1,20,26,26,1,3.8462,7,7,1,14.2857,38,39,3,7.8947
Narayanpur,21,1,20,0,0,1,1,_,17,19,3,17.6471,0,0,0,0,17,20,4,23.5294
Raigarh,158,27,39,92,38,32,-11,-28.9474,60,64,-21,-35,95,90,-3,-3.1579,193,186,-35,-18.1347
Raipur,779,77,64,638,74,67,3,4.0541,73,66,-9,-12.3288,622,617,16,2.5723,769,750,10,1.3004
Rajnandgaon,127,19,19,89,36,38,-17,-47.2222,43,33,-24,-55.814,76,91,13,17.1053,155,162,-28,-18.0645
Sakti,39,16,22,1,0,0,16,_,0,0,22,_,0,0,1,_,0,0,39,_
Sarangarh-Bilaigarh,41,12,28,1,0,0,12,_,0,0,28,_,0,0,1,_,0,0,41,_
Sukma,16,6,10,0,3,3,3,100,8,10,2,25,0,0,0,0,11,13,5,45.4545
Surajpur,53,13,38,2,12,11,1,8.3333,33,35,5,15.1515,0,2,2,_,45,48,8,17.7778
Surguja,105,23,1,81,17,18,6,35.2941,9,1,-8,-88.8889,73,78,8,10.9589,99,97,6,6.0606
