district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,963.77,865.16,89.7683,216.03,264.97,122.6543,97.5,74.75,76.6667,1277.3,1204.88,94.3302
Baloda Bazar,1141.8,1465.35,128.3368,324.08,533.78,164.7062,169.04,112.15,66.3452,1634.92,2111.28,129.1366
Balrampur,245,272.97,111.4163,90,166.23,184.7,70.02,39.54,56.4696,405.02,478.74,118.2016
Bastar,523.1,519.05,99.2258,335.19,544.71,162.5078,89.57,59.91,66.8862,947.86,1123.67,118.5481
Bemetara,1351.04,1172.1,86.7554,161.02,174.37,108.2909,65.92,41.2,62.5,1577.98,1387.67,87.9396
Bijapur,67.27,75.43,112.1302,6.29,30.85,490.461,11.48,8.19,71.3415,85.04,114.47,134.6072
Bilaspur,714.03,1153.44,161.5394,1093.57,3524.23,322.2684,248.81,349.14,140.3239,2056.41,5026.81,244.4459
Dantewada,69.05,38.48,55.7277,23.58,78.95,334.8176,7.71,16.64,215.8236,100.34,134.07,133.6157
Dhamtari,868.15,1319.4,151.9783,307.33,466.45,151.775,98.39,84.8,86.1876,1273.87,1870.65,146.8478
Durg,1282.87,1781.17,138.8426,962.37,4691.28,487.4716,158.63,466.92,294.3453,2403.87,6939.37,288.6749
Gariaband,431.82,515.77,119.441,71.07,117.89,165.8787,77.16,21.24,27.5272,580.05,654.9,112.9041
Gaurela-Pendra-Marwahi,421.21,153.1,36.3477,221,90.8,41.086,102.1,17.18,16.8266,744.31,261.08,35.0768
Janjgir-Champa,1212.68,708.14,58.3946,424.14,479.64,113.0853,193.86,103.99,53.6418,1830.68,1291.77,70.5623
Jashpur,434.34,288.08,66.3259,73.69,242.11,328.552,49.96,62.45,125.0,557.99,592.64,106.2098
Kabirdham,872.75,975.58,111.7823,130.21,321.27,246.7322,64.55,136.42,211.34,1067.51,1433.27,134.2629
Kanker,460.7,611.95,132.8305,197.1,278.06,141.0756,126.61,49.72,39.2702,784.41,939.73,119.8009
Khairagarh-Chhuikhadan-Gandai,0,501.31,_,0,48.8,_,0,66.26,_,0,616.37,_
Kondagaon,411.68,303.26,73.664,61.76,171.71,278.0278,45.15,35.12,77.7852,518.59,510.09,98.3609
Korba,461.95,303.29,65.6543,468.85,1346.52,287.1963,126.74,136.19,107.4562,1057.54,1786,168.8825
Korea,285.01,116.52,40.8828,97.03,115.49,119.025,62.27,22.29,35.7957,444.31,254.3,57.2348
Mahasamund,1276.64,1562.7,122.4073,189.47,319.54,168.6494,87.95,76.88,87.4133,1554.06,1959.12,126.0646
Manendragarh-Chirmiri-Bharatpur,0,200.77,_,0,183.62,_,0,22.57,_,0,406.96,_
Mohla-Manpur-Ambagarh Chowki,0,155.44,_,0,39.07,_,0,35.17,_,0,229.68,_
Mungeli,515.21,554.45,107.6163,138.95,145.82,104.9442,135.35,40.79,30.1367,789.51,741.06,93.8633
Narayanpur,39.47,37.48,94.9582,18.38,30.8,167.5734,8.26,13.38,161.9855,66.11,81.66,123.5214
Raigarh,1403.08,784.85,55.9377,700.4,1636.75,233.6879,383.55,142.99,37.2807,2487.03,2564.59,103.1186
Raipur,2873.74,4421.77,153.8681,5343.71,16960.1,317.3844,1328.02,1220.11,91.8744,9545.47,22601.98,236.7823
Rajnandgaon,1280.01,1205.42,94.1727,235.02,736.44,313.3521,239.99,254.16,105.9044,1755.02,2196.02,125.1279
Sakti,0,423.97,_,0,253.7,_,0,67.28,_,0,744.95,_
Sarangarh-Bilaigarh,0,463.31,_,0,101.17,_,0,24.19,_,0,588.67,_
Sukma,81.35,49.59,60.9588,15.96,32.87,205.9524,6.15,7.14,116.0976,103.46,89.6,86.6035
Surajpur,522.36,394.63,75.5475,87.65,307.16,350.4392,81.14,44.55,54.9051,691.15,746.34,107.9852
Surguja,510.38,621.12,121.6976,215,908.43,422.5256,46.61,96.25,206.5008,771.99,1625.8,210.5986
