district,sr,rcs_pending_less_than_1_year_no,rcs_pending_less_than_1_year_amt,rcs_pending_1_to_3_years_no,rcs_pending_1_to_3_years_amt,rcs_pending_3_to_5_years_no,rcs_pending_3_to_5_years_amt,rcs_pending_more_than_5_years_no,rcs_pending_more_than_5_years_amt,total_rcs_pending_more_than_5_years_no,total_rcs_pending_more_than_5_years_amt,recovery_agt_rc_01_04_22_to_31_03_23_more_than_5_years_no,recovery_agt_rc_01_04_22_to_31_03_23_more_than_5_years_amt,pct_recovery_agt_rc_lodged_more_than_5_years_amt
Almora,99,952,662,373,407,147,112.99999999999999,103,36,1575,1219,105,90,700
Bageshwar,77,194,149,15,200,0,0,0,0,209,151,98,119,7900
Chamoli,44,152,75,353,169,144,87,97,141,746,472,92,28.000000000000004,600
Champawat,88,217,170,199,126,316,140,114,43,846,479,301,149,3100
Dehradun,1100,3494,6063,937,1333,1013,1286,0,0,5444,8682,1376,1156,1300
Haridwar,1111,576,45,826,730,413,365,310,119,2125,1260,576,795,6300
Nainital,1122,176,279,184,140,23,31,0,0,383,450,90,90,2000
Pauri Garhwal,33,670,629,710,420,67,98,52,28.000000000000004,1499,1173,118,103,900
Pithoragarh,55,610,368,785,585,642,273,0,0,2037,1226,162,169,1400
Rudraprayag,66,273,166,191,107,86,22,23,571,573,301,161,273,9100
Tehri Garhwal,22,2499,3357,347,362,282,282,263,222.00000000000003,3391,4223,168,470,1100
Udham Singh Nagar,1133,458,273,448,235,102,184,0,0,1008,692,263,546,7900
Uttarkashi,11,631,266,189,69,69,18,16,2,905,355,472,290,8100
