district,sr,no_of_branch,total_deposite,total_advances,c_d_ratio_pct
Almora,8,152,761200,201700,26
Bageshwar,9,56,231800,54500,24
Chamoli,6,101,455200,289900,64
Champawat,11,65,279300,98400,35
Dehradun,1,582,8043400,2962400,37
Haridwar,3,288,2663000,1818900,68
Nainital,12,264,2240300,1149200,51
Pauri Garhwal,5,207,1068400,289100,27
Pithoragarh,10,109,538800,233900,43
Rudraprayag,7,54,257800,75900,29
Tehri Garhwal,4,145,662400,235400,36
Udham Singh Nagar,13,344,1927600,1998000,104
Uttarkashi,2,69,272300,135800,50
