district,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s
Almora,34746,14897.999999999998,34746,14897.999999999998
Bageshwar,11870,5124,11870,5124
Chamoli,20936,7352,20936,7352
Champawat,13744,10984,13744,10984
Dehradun,40449,52164,36425,45852
Haridwar,120897,144138,99720,134025
Nainital,60197,56169.00000000001,50875,75025
Pauri Garhwal,32975,8101.000000000001,32975,8101.000000000001
Pithoragarh,33360,20895,33360,20895
Rudraprayag,13064,4296,13064,4296
Tehri Garhwal,42974,19414,42974,19414
Udham Singh Nagar,150409,343153,125980,310950
Uttarkashi,36141,24568,36141,24568
