district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pm_jdy_a_c_p_er_one_lak_h_population_ii_no,49214_53316,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii
Almora,12718,20485,14432,116368,15392
Bageshwar,11147,19569,12057,45760,196
Chamoli,11046,19960,14919,70820,1272
Champawat,12080,23754,16457,54680,146
Dehradun,21754,30550,32346,476115,32424
Haridwar,43659,45700,23605,784765,28364
Nainital,22321,31171,23854,273350,5781
Pauri Garhwal,11110,19815,14304,122030,1178
Pithoragarh,9423,16727,16645,71875,1214
Rudraprayag,13610,21169,13650,46625,850
Tehri Garhwal,11950,21672,15270,119840,1030
Udham Singh Nagar,47902,53762,32900,780201,35810
Uttarkashi,17300,29299,20678,85865,4561
