district,no_of_atm_cum_debit_cards_22_i_no
Almora,5.56
Bageshwar,2.63
Chamoli,3.97
Champawat,2.26
Dehradun,19.85
Haridwar,19.9
Nainital,7.55
Pauri Garhwal,4.29
Pithoragarh,3.84
Rudraprayag,3.15
Tehri Garhwal,4.78
Udham Singh Nagar,19.2
Uttarkashi,3.81
