district,sr_no,flc_manager_no_of_sepcial_camps,flc_manager_participa_nt,flc_manager_no_of_specific_camps,flc_manager_participants,rural_branches_camps,no_of_financial_literacy_centres_flcs,implementation_of_centre_for_financial_literacy_cfl_at_block_level_in_phase_i_no_of_benefic_iaries_iii,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,9,6,240,15,483,149,1,4,282,327,155,222
Bageshwar,5,7,242,27,740,171,1,1,238,287,129,196
Chamoli,3,6,144,17,388,132,1,3,189,287,156,219
Champawat,4,7,223,13,388,437,1,1,194,283,114,156
Dehradun,10,6,217,22,1532,122,1,2,294,359,69,122
Haridwar,11,6,239,15,404,185,1,2,294,387,143,219
Nainital,12,9,229,24,595,210,2,3,215,293,109,146
Pauri Garhwal,8,10,169,15,240,394,1,5,200,292,157,223
Pithoragarh,6,6,149,20,465,251,1,3,230,318,105,147
Rudraprayag,7,6,177,16,505,117,1,1,154,242,104,151
Tehri Garhwal,2,12,306,27,599,282,2,3,213,309,134,213
Udham Singh Nagar,13,6,172,20,462,445,2,2,256,379,112,181
Uttarkashi,1,6,127,16,404,237,2,2,192,292,107,148
