district,total_no_of_shg,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs,total_no_of_jlg,loan_o_s_to_jlgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_of_jlg_no_of_jlgs,no_of_beneficiaries,out_of_i_no_of_bank_credit_linked_ii,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,4961,3060,112000,285,1.21,42456,1237,545,243,394,0,127
Bageshwar,3410,2010,112000,39,0.15,37816,1177,820,141,99,20,5
Chamoli,4203,2880,123000,47,0.36,76572,3146,2137,26,114,6,11
Champawat,3305,2025,97000,434,6.09,140326,2137,1520,180,2260,0,0
Dehradun,4109,2510,122000,26618,116.31,43696,2788,2510,6031,7137,0,0
Haridwar,4860,2780,129500,54092,246.97,45658,681,49,490,392,0,0
Nainital,3150,1480,117000,9776,35.92,36737,1690,1130,980,647,0,0
Pauri Garhwal,6448,4105,92000,988,4.88,49400,6777,5286,142,102,10,8
Pithoragarh,4210,2660,95000,178,0.78,43216,1924,956,438,584,80,35
Rudraprayag,1490,995,100000,61,0.22,36065,1655,1034,104,76,17,2
Tehri Garhwal,5740,3840,90000,467,0.69,121840,451,347,160,60,38,7
Udham Singh Nagar,4782,2790,115000,25400,95.12,37448,3400,3260,3224,2878,206,112
Uttarkashi,3533,2490,118000,97,0.85,87000,1536,1224,80,84,0,0
