district,no_of_bank_branches_per_one_lakh_population,no_of_bc_outlets_per_one_lakh_population_ii,no_of_atms_per_one_lakh_population_iii
Almora,25,33,25
Bageshwar,21,26,15
Chamoli,26,28,20
Champawat,25,27,22
Dehradun,36,25,50
Haridwar,16,27,53
Nainital,27,34,34
Pauri Garhwal,30,22,22
Pithoragarh,23,26,17
Rudraprayag,24,24,11
Tehri Garhwal,23,23,24
Udham Singh Nagar,21,26,41
Uttarkashi,21,35,26
