District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC- Agri Disb No.
Bishnupur,,144,1886.04,0,12,0,597,83,0,0,191,1027
Chandel,,45,20.26,0,0,0,16,1,0,0,0,62
Churachandpur,,132,1353.93,0,17,0,557,38,0,0,91,835
Imphal East,,76,3565.61,0,42,84,1426,58,0,0,651,2337
Imphal West,,147,8017.58,3,106,0,2604,90,0,1,778,3729
Jiribam,,0,10,0,0,0,0,0,0,0,2,2
Kakching,,188,463.17,0,2,0,20,78,0,0,16,304
Kamjong,,0,24.19,0,0,0,0,0,0,0,28,28
Kangpokpi,,10,67.64,0,1,0,17,0,0,0,77,105
Noney,,1,22.31,0,0,0,1,0,0,0,13,15
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,40,116.92,0,1,8,7,0,0,0,44,100
Tamenglong,,25,36.83,0,1,0,4,0,0,0,10,40
Tengnoupal,,20,10.51,0,0,0,1,0,0,0,15,36
Thoubal,,228,5174.87,0,14,11,2267,31,0,0,362,2913
Ukhrul,,80,49.86,0,0,0,8,1,0,0,30,119
