District,Bank Name,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Bishnupur,BOB,265879,186030,199153
Chandel,BOI,33963,22039,20066
Churachandpur,BOM,256120,177287,115668
Imphal East,CAN,406895,279188,266696
Jiribam,IND,43334,33189,6369
Kakching,IOB,170880,115787,100011
Kamjong,PNB,7148,4080,3339
Kangpokpi,PSB,107734,55562,52401
Noney,SBI,24652,18736,16753
Pherzawl,UCO,6,6,6
Senapati,UNI,125923,64659,47653
Tamenglong,Total,41076,33171,3032
Tengnoupal,AXIS,43776,29906,24409
Thoubal,BAND,312214,196614,161354
Ukhrul,HDFC,110134,79568,47557
