district,CHRISTIANS No,Amt,MUSLIMS No,BUDDHISTS No,SIKHS No,ZORASTRIANS No,JAINS No,Tot Minority Disb No
Bishnupur,836,4710.71,676,3,42,0,1,1558
Chandel,4283,16527.63,57,3,0,0,0,4343
Churachandpur,14777,70938.56,1251,27,18,0,1,16074
Imphal East,2829,19291.34,2876,14,48,0,5,5772
Imphal West,16978,76658.18,5498,27,106,1,25,22635
Jiribam,277,955.11,354,1,1,0,0,633
Kakching,1096,4057.41,252,1,67,0,0,1416
Kamjong,220,768.72,9,0,0,0,0,229
Kangpokpi,5706,22869.1,260,3,12,0,1,5982
Noney,1123,2252.73,6,0,4,0,0,1133
Pherzawl,0,0,0,0,0,0,0,0
Senapati,9497,37804.45,351,7,13,0,0,9868
Tamenglong,2027,8823.99,14,2,1,0,0,2044
Tengnoupal,2989,9810.73,189,5,3,0,0,3186
Thoubal,645,12135.01,4209,1,7,2,2,4866
Ukhrul,4596,17954.26,30,2,4,1,0,4633
