District,BHIM/UP I A/C,BHIM/UP I Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bishnupur,2939501,68135.26,5744,191.74,562,78.85,48128,142412.1,148127,7857.82,44866,1129.74
Chandel,940962,15504.78,32,5.71,80,19.49,6588,937.73,22515,701.4,22426,628.08
Churachandpur,6737572,152147.6,492,13.78,1348,742.57,74585,338021.7,185254,8937.81,102268,2197.32
Imphal East,7734323,243617.3,4722,191.26,5640,1788.38,230802,787560.6,424775,30792.92,86201,2298.29
Imphal West,21147754,644377,2813,268.69,10581,4570.9,365068,1904735,1222492,65439.93,321983,9508.38
Jiribam,1143290,26551.56,49,4.99,0,0,26232,2831.58,48862,2311.54,3674,106.52
Kakching,2150490,55704.65,2440,61.97,772,75.94,29100,350684.2,80073,4158.83,38210,862.44
Kamjong,149601,2457.57,0,0,0,0,0,0,2132,49.25,2258,43.75
Kangpokpi,3088616,56087.34,61,49.29,19,14.7,11161,1989.68,40437,1485.38,56120,1448.59
Noney,337408,6660.44,2205,57.12,0,0,994,101.7,14270,492.36,3801,127.96
Pherzawl,8,1.03,8,1.03,0,0,2,0.01,0,0,0,0
Senapati,4061690,91577.31,4,2,557,48.37,31922,190287.7,44749,2506.75,54459,1429.78
Tamenglong,651419,17551.85,47,4.85,0,0,7403,1284.54,56608,2785,740,22.11
Tengnoupal,956208,20125.18,638,15.81,198,26.4,7191,183701.4,42971,1812.74,18928,536.88
Thoubal,4512617,130741.3,7586,359.04,1624,793.09,79004,155074,168726,9226.08,48245,1282.93
Ukhrul,2211435,42924.99,598,15.29,0,0,22139,3842.82,89764,5041.79,26955,611.16
