District,Bank Name,Export No.,Amt,Education PS No.,Housing PS No.,Social Infra No.,Renewable No.,Other PS No.,Ops Total O/S No.
Bishnupur,,0,5068.47,25,426,0,0,3339,3790
Chandel,,0,795.83,8,59,0,0,55,122
Churachandpur,,0,4515.94,80,368,0,0,195,643
Imphal East,,0,9678.49,138,1169,1,0,9150,10458
Imphal West,,0,28935.26,638,3095,3,1,6447,10184
Jiribam,,0,177.52,1,3,0,0,697,701
Kakching,,0,2603.29,26,137,1,0,1794,1958
Kamjong,,0,0,0,0,0,0,0,0
Kangpokpi,,0,1232.35,16,88,0,0,67,171
Noney,,0,67.04,1,2,0,0,0,3
Pherzawl,,0,0,0,0,0,0,0,0
Senapati,,0,2657.68,58,158,0,0,401,617
Tamenglong,,0,92.67,9,7,0,0,0,16
Tengnoupal,,0,641.58,6,47,0,0,3,56
Thoubal,,0,6185.95,64,362,0,0,6860,7286
Ukhrul,,0,321.44,9,13,0,0,239,261
