district,CY SANCTIO N A/C No.,CY SANCTIO N Amt.,CY DISBURS ED A/C No.,CY DISBURS ED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Bishnupur,8,9.65,9,3.99,794,1375.73,391,625.47,45.46
Chandel,8,16.44,5,5.7,261,460.25,111,176.7,38.39
Churachandpur,31,116.53,35,35.87,670,1479.51,275,420.1,28.39
Imphal East,50,374.8,73,380.26,917,2854.68,326,583.13,20.43
Imphal West,60,477,92,422.16,2773,10174.48,1510,3920.01,38.53
Jiribam,0,0,0,0,14,22.53,8,14.72,65.34
Kakching,4,7.11,14,18.75,243,440.11,119,206.29,46.87
Kamjong,1,2.85,1,1.9,44,82.14,28,55.61,67.7
Kangpokpi,1,14.24,6,11,273,675.69,112,266.9,39.5
Noney,4,18.24,2,13.5,42,89.16,28,46.87,52.57
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,3,17.9,6,12.65,764,1580.73,391,602.72,38.13
Tamenglong,2,6.61,7,15.11,189,314.97,98,119.49,37.94
Tengnoupal,1,4.9,1,3.5,97,208.81,64,139.34,66.73
Thoubal,88,152.6,81,111.3,677,1324.22,236,328.15,24.78
Ukhrul,4,18.2,22,65.77,347,523.41,193,260.86,49.84
