District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advance,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,2105.61,39894.85,0,42000.46,4749,56787.17,3378.27,64914.44,225.54,142.34,,154.56
Chandel,12865.87,0,0,12865.87,19120.9,27.43,216.05,19364.38,148.62,,,150.51
Churachandpur,108515.6,6834.86,0,115350.4,89502.81,6137.27,13105.34,108745.4,82.48,89.79,,94.27
Imphal East,117378.7,15927.1,50653.82,183959.6,91987.48,7901.09,47373.28,147261.9,78.37,49.61,93.52,80.05
Imphal West,37199.82,42834.52,832344.7,912379,32918.83,53820.45,540568.6,627307.9,88.49,125.65,64.95,68.76
Jiribam,12996.49,105.39,0,13101.88,4586.12,182.52,0,4768.64,35.29,173.19,,36.4
Kakching,1284.63,23731.61,0,25016.24,1104.66,37107.49,0,38212.15,85.99,156.36,,152.75
Kamjong,1325.3,0,0,1325.3,1811.8,0,0,1811.8,136.71,,,136.71
Kangpokpi,33864.19,0,0,33864.19,32449.13,0,0,32449.13,95.82,,,95.82
Noney,4547.58,0,0,4547.58,3758.4,0,0,3758.4,82.65,,,82.65
Pherzawl,0,0,0,0,0,0,0,0,,,,
Senapati,49468.95,753.19,0,50222.14,48579.15,792.16,347.67,49718.98,98.2,105.17,,99
Tamenglong,782.21,13190.77,0,13972.98,300.58,8878.23,332.21,9511.02,38.43,67.31,,68.07
Tengnoupal,5918.21,7649.17,0,13567.38,13001.23,4974.96,0,17976.19,219.68,65.04,,132.5
Thoubal,8856.88,43686.84,0,52543.72,13535.38,69269.11,4770.55,87575.04,152.82,158.56,,166.67
Ukhrul,966.9,25966.35,0,26933.25,1488.86,20692.01,197.56,22378.43,153.98,79.69,,83.09
